Shape,Texture,Decision,Shape Category Value,Texture Category Value,Decision Category Value,Shape Decision,Texture Decision,Neither
airplane,airplane,bottle,7.4356426e-06,7.4356426e-06,0.0027455767,0,0,1
airplane,bear,knife,4.4477288e-06,7.8922065e-05,0.0022787633,0,0,1
airplane,bicycle,knife,7.852296e-06,0.00016481346,0.004392777,0,0,1
airplane,bird,dog,1.2772005e-05,0.00023732644,0.0020030097,0,0,1
airplane,boat,knife,1.337678e-05,0.0001259908,0.002334127,0,0,1
airplane,bottle,bottle,4.879736e-06,0.0029677749,0.0029677749,0,1,0
airplane,car,knife,9.150073e-06,6.420617e-05,0.0027213925,0,0,1
airplane,cat,knife,7.2919647e-06,0.0015545394,0.005181843,0,0,1
airplane,chair,bottle,5.3769654e-06,0.00065798545,0.003266227,0,0,1
airplane,clock,bottle,3.271403e-05,0.00042896825,0.002208209,0,0,1
airplane,dog,bottle,1.0921785e-05,0.0016059596,0.0026502528,0,0,1
airplane,elephant,bottle,6.147025e-06,0.00032301364,0.0023716658,0,0,1
airplane,keyboard,dog,4.539606e-06,0.00010232984,0.001990891,0,0,1
airplane,knife,knife,2.1030395e-05,0.0022675158,0.0022675158,0,1,0
airplane,oven,oven,5.494258e-06,0.0026366303,0.0026366303,0,1,0
airplane,truck,knife,5.277709e-06,2.9935825e-05,0.0034680245,0,0,1
