Shape,Texture,Decision,Shape Category Value,Texture Category Value,Decision Category Value,Shape Decision,Texture Decision,Neither
bear,airplane,bottle,0.00019751316,7.4356426e-06,0.0027455767,0,0,1
bear,bear,knife,7.8922065e-05,7.8922065e-05,0.0022787633,0,0,1
bear,bicycle,knife,6.21641e-05,0.00016481346,0.004392777,0,0,1
bear,bird,dog,0.00018868071,0.00023732644,0.0020030097,0,0,1
bear,boat,knife,0.00010439749,0.0001259908,0.002334127,0,0,1
bear,bottle,bottle,5.140286e-05,0.0029677749,0.0029677749,0,1,0
bear,car,knife,6.839853e-05,6.420617e-05,0.0027213925,0,0,1
bear,cat,knife,7.672118e-05,0.0015545394,0.005181843,0,0,1
bear,chair,bottle,8.328594e-05,0.00065798545,0.003266227,0,0,1
bear,clock,bottle,0.00014502821,0.00042896825,0.002208209,0,0,1
bear,dog,bottle,9.498827e-05,0.0016059596,0.0026502528,0,0,1
bear,elephant,bottle,0.000100795936,0.00032301364,0.0023716658,0,0,1
bear,keyboard,dog,9.2964096e-05,0.00010232984,0.001990891,0,0,1
bear,knife,knife,4.42947e-05,0.0022675158,0.0022675158,0,1,0
bear,oven,oven,7.9003104e-05,0.0026366303,0.0026366303,0,1,0
bear,truck,knife,9.4655734e-05,2.9935825e-05,0.0034680245,0,0,1
