Shape,Texture,Decision,Shape Category Value,Texture Category Value,Decision Category Value,Shape Decision,Texture Decision,Neither
boat,airplane,bottle,0.00010900124,7.4356426e-06,0.0027455767,0,0,1
boat,bear,knife,7.33506e-05,7.8922065e-05,0.0022787633,0,0,1
boat,bicycle,knife,7.8778736e-05,0.00016481346,0.004392777,0,0,1
boat,bird,dog,0.00015807859,0.00023732644,0.0020030097,0,0,1
boat,boat,knife,0.0001259908,0.0001259908,0.002334127,0,0,1
boat,bottle,bottle,7.068608e-05,0.0029677749,0.0029677749,0,1,0
boat,car,knife,0.00010301535,6.420617e-05,0.0027213925,0,0,1
boat,cat,knife,6.878783e-05,0.0015545394,0.005181843,0,0,1
boat,chair,bottle,6.189472e-05,0.00065798545,0.003266227,0,0,1
boat,clock,bottle,0.0002221779,0.00042896825,0.002208209,0,0,1
boat,dog,bottle,6.1505205e-05,0.0016059596,0.0026502528,0,0,1
boat,elephant,bottle,5.8836835e-05,0.00032301364,0.0023716658,0,0,1
boat,keyboard,dog,6.421977e-05,0.00010232984,0.001990891,0,0,1
boat,knife,knife,0.0001149924,0.0022675158,0.0022675158,0,1,0
boat,oven,oven,7.104875e-05,0.0026366303,0.0026366303,0,1,0
boat,truck,knife,3.4179124e-05,2.9935825e-05,0.0034680245,0,0,1
