Shape,Texture,Decision,Shape Category Value,Texture Category Value,Decision Category Value,Shape Decision,Texture Decision,Neither
chair,airplane,bottle,0.00057430984,7.4356426e-06,0.0027455767,0,0,1
chair,bear,knife,0.0004527457,7.8922065e-05,0.0022787633,0,0,1
chair,bicycle,knife,0.00066922774,0.00016481346,0.004392777,0,0,1
chair,bird,dog,0.0006873316,0.00023732644,0.0020030097,0,0,1
chair,boat,knife,0.0005404925,0.0001259908,0.002334127,0,0,1
chair,bottle,bottle,0.00077390875,0.0029677749,0.0029677749,0,1,0
chair,car,knife,0.0007376223,6.420617e-05,0.0027213925,0,0,1
chair,cat,knife,0.00056732836,0.0015545394,0.005181843,0,0,1
chair,chair,bottle,0.00065798545,0.00065798545,0.003266227,0,0,1
chair,clock,bottle,0.0005956486,0.00042896825,0.002208209,0,0,1
chair,dog,bottle,0.0003864704,0.0016059596,0.0026502528,0,0,1
chair,elephant,bottle,0.0003798231,0.00032301364,0.0023716658,0,0,1
chair,keyboard,dog,0.0005879089,0.00010232984,0.001990891,0,0,1
chair,knife,knife,0.0006537108,0.0022675158,0.0022675158,0,1,0
chair,oven,oven,0.0003359684,0.0026366303,0.0026366303,0,1,0
chair,truck,knife,0.00061623653,2.9935825e-05,0.0034680245,0,0,1
