Shape,Texture,Decision,Shape Category Value,Texture Category Value,Decision Category Value,Shape Decision,Texture Decision,Neither
knife,airplane,bottle,0.0026817285,7.4356426e-06,0.0027455767,0,0,1
knife,bear,knife,0.0022787633,7.8922065e-05,0.0022787633,1,0,0
knife,bicycle,knife,0.004392777,0.00016481346,0.004392777,1,0,0
knife,bird,dog,0.0016476222,0.00023732644,0.0020030097,0,0,1
knife,boat,knife,0.002334127,0.0001259908,0.002334127,1,0,0
knife,bottle,bottle,0.0017966576,0.0029677749,0.0029677749,0,1,0
knife,car,knife,0.0027213925,6.420617e-05,0.0027213925,1,0,0
knife,cat,knife,0.005181843,0.0015545394,0.005181843,1,0,0
knife,chair,bottle,0.0020719566,0.00065798545,0.003266227,0,0,1
knife,clock,bottle,0.001200853,0.00042896825,0.002208209,0,0,1
knife,dog,bottle,0.0020293982,0.0016059596,0.0026502528,0,0,1
knife,elephant,bottle,0.0019876915,0.00032301364,0.0023716658,0,0,1
knife,keyboard,dog,0.0018006841,0.00010232984,0.001990891,0,0,1
knife,knife,knife,0.0022675158,0.0022675158,0.0022675158,1,1,0
knife,oven,oven,0.0021920474,0.0026366303,0.0026366303,0,1,0
knife,truck,knife,0.0034680245,2.9935825e-05,0.0034680245,1,0,0
