Shape,Texture,Decision,Shape Category Value,Texture Category Value,Decision Category Value,Shape Decision,Texture Decision,Neither
truck,airplane,bottle,0.00014335738,7.4356426e-06,0.0027455767,0,0,1
truck,bear,knife,4.526579e-05,7.8922065e-05,0.0022787633,0,0,1
truck,bicycle,knife,9.14683e-05,0.00016481346,0.004392777,0,0,1
truck,bird,dog,6.7298985e-05,0.00023732644,0.0020030097,0,0,1
truck,boat,knife,7.31895e-05,0.0001259908,0.002334127,0,0,1
truck,bottle,bottle,5.1831317e-05,0.0029677749,0.0029677749,0,1,0
truck,car,knife,9.715225e-05,6.420617e-05,0.0027213925,0,0,1
truck,cat,knife,7.373036e-05,0.0015545394,0.005181843,0,0,1
truck,chair,bottle,6.7757865e-05,0.00065798545,0.003266227,0,0,1
truck,clock,bottle,0.00015466542,0.00042896825,0.002208209,0,0,1
truck,dog,bottle,5.5149416e-05,0.0016059596,0.0026502528,0,0,1
truck,elephant,bottle,0.000113820075,0.00032301364,0.0023716658,0,0,1
truck,keyboard,dog,5.518706e-05,0.00010232984,0.001990891,0,0,1
truck,knife,knife,6.547093e-05,0.0022675158,0.0022675158,0,1,0
truck,oven,oven,7.449521e-05,0.0026366303,0.0026366303,0,1,0
truck,truck,knife,2.9935825e-05,2.9935825e-05,0.0034680245,0,0,1
