Shape,Texture,Decision,Shape Category Value,Texture Category Value,Decision Category Value,Shape Decision,Texture Decision,Neither,Restricted Decision,Restriced Shape Value,Restricted Texture Value,Restricted Shape Decision,Restricted Texture Decision
airplane,bicycle2,bottle,3.4812185e-08,5.937368e-05,0.00040827272,0,0,1,bicycle,,,0,1
airplane,chair2,chair,0.00018029651,0.0050051124,0.0050051124,0,1,0,chair,,,0,1
airplane,clock1,clock,6.9858e-08,0.07965844,0.07965844,0,1,0,clock,,,0,1
airplane,elephant1,elephant,6.1250303e-09,0.4684519,0.4684519,0,1,0,elephant,,,0,1
airplane,bear3,bear,5.397821e-06,0.1172177,0.1172177,0,1,0,bear,,,0,1
airplane,boat3,airplane,0.003251628,0.00083212805,0.003251628,1,0,0,airplane,,,1,0
airplane,car3,car,0.0011386129,0.08055402,0.08055402,0,1,0,car,,,0,1
airplane,cat2,cat,5.0620116e-08,0.057231218,0.057231218,0,1,0,cat,,,0,1
airplane,dog3,bear,9.600072e-05,0.005516605,0.0092304,0,0,1,dog,,,0,1
airplane,elephant1,elephant,6.1250303e-09,0.4684519,0.4684519,0,1,0,elephant,,,0,1
airplane,knife3,knife,4.1878997e-07,0.016988905,0.016988905,0,1,0,knife,,,0,1
airplane,oven2,oven,1.5052394e-05,0.044491466,0.044491466,0,1,0,oven,,,0,1
airplane,truck1,bottle,1.0546985e-06,0.00076173746,0.02712233,0,0,1,truck,,,0,1
airplane,bear1,bear,0.00022937573,0.112956055,0.112956055,0,1,0,bear,,,0,1
airplane,bicycle1,car,6.448529e-05,0.00090669125,0.001743537,0,0,1,bicycle,,,0,1
airplane,bird3,knife,4.744691e-06,0.00026277953,0.002395259,0,0,1,bird,,,0,1
airplane,bottle1,bottle,2.6024416e-08,0.052580476,0.052580476,0,1,0,bottle,,,0,1
airplane,cat1,dog,3.7076195e-05,0.0051800027,0.006233801,0,0,1,cat,,,0,1
airplane,dog1,dog,8.051105e-06,0.005429848,0.005429848,0,1,0,dog,,,0,1
airplane,car1,boat,7.737751e-06,0.00018802652,0.0020571114,0,0,1,car,,,0,1
airplane,cat1,dog,3.7076195e-05,0.0051800027,0.006233801,0,0,1,cat,,,0,1
airplane,chair3,boat,0.00040100998,0.00024112212,0.013395074,0,0,1,airplane,,,1,0
airplane,clock1,clock,6.9858e-08,0.07965844,0.07965844,0,1,0,clock,,,0,1
airplane,dog1,dog,8.051105e-06,0.005429848,0.005429848,0,1,0,dog,,,0,1
airplane,elephant1,elephant,6.1250303e-09,0.4684519,0.4684519,0,1,0,elephant,,,0,1
airplane,keyboard2,bottle,0.00013398317,0.0025511987,0.005425372,0,0,1,keyboard,,,0,1
airplane,oven1,oven,3.5522546e-05,0.0014047927,0.0014047927,0,1,0,oven,,,0,1
airplane,bear3,bear,5.397821e-06,0.1172177,0.1172177,0,1,0,bear,,,0,1
airplane,bicycle2,bottle,3.4812185e-08,5.937368e-05,0.00040827272,0,0,1,bicycle,,,0,1
airplane,bird3,knife,4.744691e-06,0.00026277953,0.002395259,0,0,1,bird,,,0,1
airplane,boat3,airplane,0.003251628,0.00083212805,0.003251628,1,0,0,airplane,,,1,0
airplane,bottle1,bottle,2.6024416e-08,0.052580476,0.052580476,0,1,0,bottle,,,0,1
airplane,car1,boat,7.737751e-06,0.00018802652,0.0020571114,0,0,1,car,,,0,1
airplane,cat3,cat,1.45953845e-05,0.0022509452,0.0022509452,0,1,0,cat,,,0,1
airplane,dog2,dog,2.8784802e-06,0.0052225306,0.0052225306,0,1,0,dog,,,0,1
airplane,elephant1,elephant,6.1250303e-09,0.4684519,0.4684519,0,1,0,elephant,,,0,1
airplane,keyboard3,bottle,1.122968e-05,0.00020731654,0.035687927,0,0,1,keyboard,,,0,1
airplane,knife1,bottle,2.3600967e-05,0.00092963193,0.0050877784,0,0,1,knife,,,0,1
airplane,truck2,car,9.974645e-06,0.021919645,0.048563,0,0,1,truck,,,0,1
airplane,bear2,bear,0.0005937027,0.12511301,0.12511301,0,1,0,bear,,,0,1
airplane,bicycle1,car,6.448529e-05,0.00090669125,0.001743537,0,0,1,bicycle,,,0,1
airplane,bird2,bird,1.7702286e-06,0.017584875,0.017584875,0,1,0,bird,,,0,1
airplane,boat3,airplane,0.003251628,0.00083212805,0.003251628,1,0,0,airplane,,,1,0
airplane,bottle3,bottle,1.5042714e-08,0.11603117,0.11603117,0,1,0,bottle,,,0,1
airplane,chair3,boat,0.00040100998,0.00024112212,0.013395074,0,0,1,airplane,,,1,0
airplane,dog3,bear,9.600072e-05,0.005516605,0.0092304,0,0,1,dog,,,0,1
airplane,knife1,bottle,2.3600967e-05,0.00092963193,0.0050877784,0,0,1,knife,,,0,1
airplane,oven3,oven,2.7884752e-07,4.7652058e-05,4.7652058e-05,0,1,0,oven,,,0,1
airplane,bear3,bear,5.397821e-06,0.1172177,0.1172177,0,1,0,bear,,,0,1
airplane,bottle2,bottle,6.9698096e-08,0.034006678,0.034006678,0,1,0,bottle,,,0,1
airplane,chair3,boat,0.00040100998,0.00024112212,0.013395074,0,0,1,airplane,,,1,0
airplane,keyboard3,bottle,1.122968e-05,0.00020731654,0.035687927,0,0,1,keyboard,,,0,1
airplane,knife1,bottle,2.3600967e-05,0.00092963193,0.0050877784,0,0,1,knife,,,0,1
airplane,bird3,knife,4.744691e-06,0.00026277953,0.002395259,0,0,1,bird,,,0,1
