Shape,Texture,Decision,Shape Category Value,Texture Category Value,Decision Category Value,Shape Decision,Texture Decision,Neither,Restricted Decision,Restriced Shape Value,Restricted Texture Value,Restricted Shape Decision,Restricted Texture Decision
bicycle,airplane2,car,0.0028732293,5.98188e-05,0.011198116,0,0,1,bicycle,,,1,0
bicycle,bear1,cat,5.0981726e-07,0.00067141774,0.00070690044,0,0,1,bear,,,0,1
bicycle,bird1,bottle,4.7535472e-05,0.0023906115,0.018767461,0,0,1,bird,,,0,1
bicycle,boat3,bicycle,0.0036111083,0.0005283578,0.0036111083,1,0,0,bicycle,,,1,0
bicycle,bottle3,bicycle,0.03642791,0.008600975,0.03642791,1,0,0,bicycle,,,1,0
bicycle,chair1,car,0.00021752523,0.006046682,0.06758759,0,0,1,chair,,,0,1
bicycle,clock3,clock,0.00022617936,0.070682764,0.070682764,0,1,0,clock,,,0,1
bicycle,dog3,bear,9.774821e-06,0.0011231096,0.042949084,0,0,1,dog,,,0,1
bicycle,elephant2,elephant,3.933225e-05,0.39944607,0.39944607,0,1,0,elephant,,,0,1
bicycle,knife3,clock,0.00012869191,0.00041770836,0.0014813794,0,0,1,knife,,,0,1
bicycle,oven1,knife,1.7770077e-05,0.0019476397,0.001960946,0,0,1,oven,,,0,1
bicycle,truck1,bicycle,0.0058364025,0.00021737549,0.0058364025,1,0,0,bicycle,,,1,0
bicycle,airplane2,car,0.0028732293,5.98188e-05,0.011198116,0,0,1,bicycle,,,1,0
bicycle,boat3,bicycle,0.0036111083,0.0005283578,0.0036111083,1,0,0,bicycle,,,1,0
bicycle,clock2,clock,0.00014050654,0.12423277,0.12423277,0,1,0,clock,,,0,1
bicycle,dog3,bear,9.774821e-06,0.0011231096,0.042949084,0,0,1,dog,,,0,1
bicycle,elephant2,elephant,3.933225e-05,0.39944607,0.39944607,0,1,0,elephant,,,0,1
bicycle,bird3,clock,0.006141943,3.7169673e-05,0.006183518,0,0,1,bicycle,,,1,0
bicycle,bottle1,clock,0.00040208967,0.0011021809,0.21953107,0,0,1,bottle,,,0,1
bicycle,car2,bottle,0.000119989316,0.0013706818,0.01642973,0,0,1,car,,,0,1
bicycle,dog1,dog,5.5709876e-07,0.0006214399,0.0006214399,0,1,0,dog,,,0,1
bicycle,keyboard2,bottle,1.2566867e-05,0.00018939404,0.014189802,0,0,1,keyboard,,,0,1
bicycle,knife2,clock,0.009210698,0.0016982898,0.040974047,0,0,1,bicycle,,,1,0
bicycle,bird1,bottle,4.7535472e-05,0.0023906115,0.018767461,0,0,1,bird,,,0,1
bicycle,elephant2,elephant,3.933225e-05,0.39944607,0.39944607,0,1,0,elephant,,,0,1
bicycle,keyboard1,clock,0.00037641547,0.00014675439,0.0009858727,0,0,1,bicycle,,,1,0
bicycle,oven3,truck,8.202822e-08,0.0004884945,0.0009685176,0,0,1,oven,,,0,1
bicycle,truck3,bottle,9.8987395e-05,0.00035480206,0.0024907242,0,0,1,truck,,,0,1
bicycle,airplane1,clock,7.720076e-05,0.00027663104,0.05146906,0,0,1,airplane,,,0,1
bicycle,boat1,bicycle,0.2385526,0.00012386529,0.2385526,1,0,0,bicycle,,,1,0
bicycle,bottle1,clock,0.00040208967,0.0011021809,0.21953107,0,0,1,bottle,,,0,1
bicycle,car2,bottle,0.000119989316,0.0013706818,0.01642973,0,0,1,car,,,0,1
bicycle,cat1,dog,3.7868514e-05,0.0028134182,0.0031275675,0,0,1,cat,,,0,1
bicycle,chair2,bicycle,0.005710829,0.0018736847,0.005710829,1,0,0,bicycle,,,1,0
bicycle,clock3,clock,0.00022617936,0.070682764,0.070682764,0,1,0,clock,,,0,1
bicycle,keyboard3,bottle,1.32212335e-05,0.00043136292,0.00078621827,0,0,1,keyboard,,,0,1
bicycle,knife3,clock,0.00012869191,0.00041770836,0.0014813794,0,0,1,knife,,,0,1
bicycle,oven3,truck,8.202822e-08,0.0004884945,0.0009685176,0,0,1,oven,,,0,1
bicycle,truck3,bottle,9.8987395e-05,0.00035480206,0.0024907242,0,0,1,truck,,,0,1
bicycle,bear1,cat,5.0981726e-07,0.00067141774,0.00070690044,0,0,1,bear,,,0,1
