Shape,Texture,Decision,Shape Category Value,Texture Category Value,Decision Category Value,Shape Decision,Texture Decision,Neither,Restricted Decision,Restriced Shape Value,Restricted Texture Value,Restricted Shape Decision,Restricted Texture Decision
bird,airplane2,bottle,0.00039616387,0.00015608511,0.0022536984,0,0,1,bird,,,1,0
bird,bear1,bottle,0.00043724332,0.00032584218,0.0022743202,0,0,1,bird,,,1,0
bird,bicycle2,bottle,0.00046685353,0.00074115105,0.0021540276,0,0,1,bicycle,,,0,1
bird,boat1,bottle,0.0003969247,0.0003881353,0.0023130667,0,0,1,bird,,,1,0
bird,chair2,bottle,0.0004055349,0.0012003037,0.0023698658,0,0,1,chair,,,0,1
bird,clock3,bottle,0.00044510132,0.0019196257,0.0022968836,0,0,1,clock,,,0,1
bird,elephant2,bottle,0.0004730341,0.0005076249,0.0023230505,0,0,1,elephant,,,0,1
bird,keyboard3,bottle,0.00037086592,0.00085841236,0.002355421,0,0,1,keyboard,,,0,1
bird,knife3,bottle,0.00041048034,0.0019213381,0.0023235283,0,0,1,knife,,,0,1
bird,oven1,bottle,0.00039263553,0.0011950686,0.0024842734,0,0,1,oven,,,0,1
bird,truck1,bottle,0.00038483812,0.0004970253,0.0022949136,0,0,1,truck,,,0,1
bird,bear2,bottle,0.00043671823,0.0003469279,0.0021536665,0,0,1,bird,,,1,0
bird,bicycle1,bottle,0.00045398573,0.0007534162,0.0023065251,0,0,1,bicycle,,,0,1
bird,bird2,bottle,0.0004581245,0.0004581245,0.0021542485,0,0,1,bird,,,1,1
bird,cat1,bottle,0.00045061187,0.0014039524,0.0022320547,0,0,1,cat,,,0,1
bird,chair1,bottle,0.00039663486,0.0011865032,0.0023693815,0,0,1,chair,,,0,1
bird,clock1,bottle,0.00039678626,0.0019275643,0.0023793431,0,0,1,clock,,,0,1
bird,elephant2,bottle,0.0004730341,0.0005076249,0.0023230505,0,0,1,elephant,,,0,1
bird,airplane3,bottle,0.00039705326,0.00012671218,0.0022819948,0,0,1,bird,,,1,0
bird,bird2,bottle,0.0004581245,0.0004581245,0.0021542485,0,0,1,bird,,,1,1
bird,car3,bottle,0.0003811455,0.0004971565,0.0022372438,0,0,1,car,,,0,1
bird,clock3,bottle,0.00044510132,0.0019196257,0.0022968836,0,0,1,clock,,,0,1
bird,dog2,bottle,0.0004920959,0.0010275202,0.0024245775,0,0,1,dog,,,0,1
bird,knife1,bottle,0.00040899156,0.0018852267,0.0024209588,0,0,1,knife,,,0,1
bird,bear3,bottle,0.00041111992,0.00031674476,0.0021668978,0,0,1,bird,,,1,0
bird,bird2,bottle,0.0004581245,0.0004581245,0.0021542485,0,0,1,bird,,,1,1
bird,boat3,bottle,0.00040511022,0.00040460232,0.002290508,0,0,1,bird,,,1,0
bird,bottle2,bottle,0.0004075687,0.0022599194,0.0022599194,0,1,0,bottle,,,0,1
bird,cat1,bottle,0.00045061187,0.0014039524,0.0022320547,0,0,1,cat,,,0,1
bird,dog1,bottle,0.00043698595,0.0010565614,0.0022728122,0,0,1,dog,,,0,1
bird,knife3,bottle,0.00041048034,0.0019213381,0.0023235283,0,0,1,knife,,,0,1
bird,oven1,bottle,0.00039263553,0.0011950686,0.0024842734,0,0,1,oven,,,0,1
bird,truck3,bottle,0.00039243276,0.000496109,0.0022688222,0,0,1,truck,,,0,1
bird,airplane1,bottle,0.00038458055,0.00017421643,0.0023532216,0,0,1,bird,,,1,0
bird,bicycle2,bottle,0.00046685353,0.00074115105,0.0021540276,0,0,1,bicycle,,,0,1
bird,cat3,bottle,0.0003887596,0.0012022398,0.0022792325,0,0,1,cat,,,0,1
bird,clock1,bottle,0.00039678626,0.0019275643,0.0023793431,0,0,1,clock,,,0,1
bird,dog3,bottle,0.00050256745,0.0011642921,0.0021156117,0,0,1,dog,,,0,1
bird,airplane3,bottle,0.00039705326,0.00012671218,0.0022819948,0,0,1,bird,,,1,0
bird,bear3,bottle,0.00041111992,0.00031674476,0.0021668978,0,0,1,bird,,,1,0
bird,bicycle1,bottle,0.00045398573,0.0007534162,0.0023065251,0,0,1,bicycle,,,0,1
bird,bird1,bottle,0.00045026158,0.00045026158,0.0021864846,0,0,1,bird,,,1,1
bird,car2,bottle,0.0004005733,0.00048312277,0.0024088982,0,0,1,car,,,0,1
bird,cat2,bottle,0.00041499847,0.0012579084,0.0022499398,0,0,1,cat,,,0,1
bird,chair1,bottle,0.00039663486,0.0011865032,0.0023693815,0,0,1,chair,,,0,1
bird,dog2,bottle,0.0004920959,0.0010275202,0.0024245775,0,0,1,dog,,,0,1
bird,keyboard2,bottle,0.00038494216,0.00092863454,0.0023245756,0,0,1,keyboard,,,0,1
bird,oven3,bottle,0.0003954249,0.0011667502,0.0024309412,0,0,1,oven,,,0,1
bird,truck2,bottle,0.00041271685,0.0005225213,0.0022063786,0,0,1,truck,,,0,1
bird,airplane2,bottle,0.00039616387,0.00015608511,0.0022536984,0,0,1,bird,,,1,0
bird,boat2,bottle,0.00042332502,0.00036218943,0.0022538614,0,0,1,bird,,,1,0
bird,bottle3,bottle,0.00048026568,0.002377113,0.002377113,0,1,0,bottle,,,0,1
bird,car3,bottle,0.0003811455,0.0004971565,0.0022372438,0,0,1,car,,,0,1
bird,elephant2,bottle,0.0004730341,0.0005076249,0.0023230505,0,0,1,elephant,,,0,1
bird,oven1,bottle,0.00039263553,0.0011950686,0.0024842734,0,0,1,oven,,,0,1
bird,truck2,bottle,0.00041271685,0.0005225213,0.0022063786,0,0,1,truck,,,0,1
bird,bird2,bottle,0.0004581245,0.0004581245,0.0021542485,0,0,1,bird,,,1,1
bird,boat1,bottle,0.0003969247,0.0003881353,0.0023130667,0,0,1,bird,,,1,0
bird,bottle1,bottle,0.00042035987,0.0022516113,0.0022516113,0,1,0,bottle,,,0,1
bird,car2,bottle,0.0004005733,0.00048312277,0.0024088982,0,0,1,car,,,0,1
bird,cat3,bottle,0.0003887596,0.0012022398,0.0022792325,0,0,1,cat,,,0,1
bird,keyboard3,bottle,0.00037086592,0.00085841236,0.002355421,0,0,1,keyboard,,,0,1
bird,knife2,bottle,0.00041375877,0.0020560152,0.0021207877,0,0,1,knife,,,0,1
bird,oven3,bottle,0.0003954249,0.0011667502,0.0024309412,0,0,1,oven,,,0,1
bird,truck2,bottle,0.00041271685,0.0005225213,0.0022063786,0,0,1,truck,,,0,1
bird,boat3,bottle,0.00040511022,0.00040460232,0.002290508,0,0,1,bird,,,1,0
bird,bottle1,bottle,0.00042035987,0.0022516113,0.0022516113,0,1,0,bottle,,,0,1
bird,car2,bottle,0.0004005733,0.00048312277,0.0024088982,0,0,1,car,,,0,1
bird,chair1,bottle,0.00039663486,0.0011865032,0.0023693815,0,0,1,chair,,,0,1
bird,clock1,bottle,0.00039678626,0.0019275643,0.0023793431,0,0,1,clock,,,0,1
bird,elephant1,bottle,0.00043234395,0.00043310752,0.0025127043,0,0,1,elephant,,,0,1
bird,keyboard2,bottle,0.00038494216,0.00092863454,0.0023245756,0,0,1,keyboard,,,0,1
bird,knife2,bottle,0.00041375877,0.0020560152,0.0021207877,0,0,1,knife,,,0,1
bird,bear3,bottle,0.00041111992,0.00031674476,0.0021668978,0,0,1,bird,,,1,0
bird,bicycle3,bottle,0.0004797115,0.0007371671,0.0022546926,0,0,1,bicycle,,,0,1
bird,bottle3,bottle,0.00048026568,0.002377113,0.002377113,0,1,0,bottle,,,0,1
bird,chair1,bottle,0.00039663486,0.0011865032,0.0023693815,0,0,1,chair,,,0,1
bird,dog2,bottle,0.0004920959,0.0010275202,0.0024245775,0,0,1,dog,,,0,1
bird,elephant2,bottle,0.0004730341,0.0005076249,0.0023230505,0,0,1,elephant,,,0,1
bird,keyboard1,bottle,0.0004378883,0.0008487793,0.0022467717,0,0,1,keyboard,,,0,1
