Shape,Texture,Decision,Shape Category Value,Texture Category Value,Decision Category Value,Shape Decision,Texture Decision,Neither,Restricted Decision,Restriced Shape Value,Restricted Texture Value,Restricted Shape Decision,Restricted Texture Decision
boat,bear1,bear,9.925747e-07,0.06319309,0.06319309,0,1,0,bear,,,0,1
boat,bicycle2,bicycle,2.0118052e-06,0.0044561396,0.0044561396,0,1,0,bicycle,,,0,1
boat,bird3,bird,1.3001214e-05,0.0075510237,0.0075510237,0,1,0,bird,,,0,1
boat,car2,bottle,0.00023790514,0.0003956434,0.014825887,0,0,1,car,,,0,1
boat,chair3,bottle,0.0007514736,0.00037141042,0.016138751,0,0,1,boat,,,1,0
boat,elephant3,elephant,9.498985e-09,0.45409217,0.45409217,0,1,0,elephant,,,0,1
boat,keyboard3,bottle,2.2867926e-05,0.00018751388,0.022659304,0,0,1,keyboard,,,0,1
boat,oven1,keyboard,1.8509028e-05,6.483896e-05,0.00018285387,0,0,1,oven,,,0,1
boat,truck3,truck,0.0001505218,0.010079089,0.010079089,0,1,0,truck,,,0,1
boat,bear3,bear,8.964645e-05,0.011959808,0.011959808,0,1,0,bear,,,0,1
boat,cat1,dog,0.0001294147,0.0019626834,0.006712433,0,0,1,cat,,,0,1
boat,oven1,keyboard,1.8509028e-05,6.483896e-05,0.00018285387,0,0,1,oven,,,0,1
boat,truck1,car,0.0009298385,0.005460311,0.05884732,0,0,1,truck,,,0,1
boat,airplane1,airplane,0.00020842701,0.0016300842,0.0016300842,0,1,0,airplane,,,0,1
boat,bear3,bear,8.964645e-05,0.011959808,0.011959808,0,1,0,bear,,,0,1
boat,bird1,bottle,0.0001625573,0.00079784147,0.0041500344,0,0,1,bird,,,0,1
boat,bottle2,bottle,4.2207837e-10,0.007780318,0.007780318,0,1,0,bottle,,,0,1
boat,keyboard1,bottle,2.000655e-06,0.00080677634,0.0036742266,0,0,1,keyboard,,,0,1
boat,oven3,truck,1.1495172e-06,0.0013390166,0.0020549025,0,0,1,oven,,,0,1
boat,airplane2,boat,0.002178201,0.00064068194,0.002178201,1,0,0,boat,,,1,0
boat,bicycle2,bicycle,2.0118052e-06,0.0044561396,0.0044561396,0,1,0,bicycle,,,0,1
boat,car3,car,0.0015452949,0.078723565,0.078723565,0,1,0,car,,,0,1
boat,cat3,cat,0.00028035662,0.0028509183,0.0028509183,0,1,0,cat,,,0,1
boat,chair3,bottle,0.0007514736,0.00037141042,0.016138751,0,0,1,boat,,,1,0
boat,clock3,clock,1.0524231e-05,0.051642627,0.051642627,0,1,0,clock,,,0,1
boat,dog3,dog,0.00013277172,0.006268521,0.006268521,0,1,0,dog,,,0,1
boat,keyboard2,bottle,3.8412127e-05,0.000511394,0.06598403,0,0,1,keyboard,,,0,1
boat,bicycle3,bottle,1.1970379e-05,0.00038643007,0.00051951944,0,0,1,bicycle,,,0,1
boat,bird1,bottle,0.0001625573,0.00079784147,0.0041500344,0,0,1,bird,,,0,1
boat,bottle2,bottle,4.2207837e-10,0.007780318,0.007780318,0,1,0,bottle,,,0,1
boat,car3,car,0.0015452949,0.078723565,0.078723565,0,1,0,car,,,0,1
boat,chair2,boat,0.0070080743,0.00075747096,0.0070080743,1,0,0,boat,,,1,0
boat,dog2,dog,5.5735087e-05,0.004951119,0.004951119,0,1,0,dog,,,0,1
boat,elephant2,elephant,2.7302898e-08,0.4853527,0.4853527,0,1,0,elephant,,,0,1
boat,knife2,truck,6.1362065e-05,0.003510017,0.009439066,0,0,1,knife,,,0,1
boat,airplane1,airplane,0.00020842701,0.0016300842,0.0016300842,0,1,0,airplane,,,0,1
boat,bicycle3,bottle,1.1970379e-05,0.00038643007,0.00051951944,0,0,1,bicycle,,,0,1
boat,car3,car,0.0015452949,0.078723565,0.078723565,0,1,0,car,,,0,1
boat,clock3,clock,1.0524231e-05,0.051642627,0.051642627,0,1,0,clock,,,0,1
boat,knife2,truck,6.1362065e-05,0.003510017,0.009439066,0,0,1,knife,,,0,1
boat,airplane2,boat,0.002178201,0.00064068194,0.002178201,1,0,0,boat,,,1,0
boat,bear1,bear,9.925747e-07,0.06319309,0.06319309,0,1,0,bear,,,0,1
boat,bicycle2,bicycle,2.0118052e-06,0.0044561396,0.0044561396,0,1,0,bicycle,,,0,1
boat,bottle2,bottle,4.2207837e-10,0.007780318,0.007780318,0,1,0,bottle,,,0,1
boat,car1,boat,0.0025610048,0.00031469957,0.0025610048,1,0,0,boat,,,1,0
boat,cat1,dog,0.0001294147,0.0019626834,0.006712433,0,0,1,cat,,,0,1
boat,clock2,bottle,5.2802898e-05,0.0016076552,0.030849252,0,0,1,clock,,,0,1
boat,dog1,dog,9.347188e-06,0.0061396956,0.0061396956,0,1,0,dog,,,0,1
boat,elephant2,elephant,2.7302898e-08,0.4853527,0.4853527,0,1,0,elephant,,,0,1
boat,knife2,truck,6.1362065e-05,0.003510017,0.009439066,0,0,1,knife,,,0,1
boat,truck3,truck,0.0001505218,0.010079089,0.010079089,0,1,0,truck,,,0,1
boat,bottle1,bottle,4.7187592e-07,0.07014581,0.07014581,0,1,0,bottle,,,0,1
boat,cat3,cat,0.00028035662,0.0028509183,0.0028509183,0,1,0,cat,,,0,1
boat,chair1,car,4.8714715e-05,0.0036162154,0.021551691,0,0,1,chair,,,0,1
boat,clock3,clock,1.0524231e-05,0.051642627,0.051642627,0,1,0,clock,,,0,1
boat,elephant3,elephant,9.498985e-09,0.45409217,0.45409217,0,1,0,elephant,,,0,1
boat,keyboard3,bottle,2.2867926e-05,0.00018751388,0.022659304,0,0,1,keyboard,,,0,1
boat,oven3,truck,1.1495172e-06,0.0013390166,0.0020549025,0,0,1,oven,,,0,1
boat,truck2,truck,0.0022913488,0.021912944,0.021912944,0,1,0,truck,,,0,1
boat,bird2,bottle,4.0668958e-05,0.00015423234,0.00032138606,0,0,1,bird,,,0,1
boat,bottle1,bottle,4.7187592e-07,0.07014581,0.07014581,0,1,0,bottle,,,0,1
boat,dog3,dog,0.00013277172,0.006268521,0.006268521,0,1,0,dog,,,0,1
boat,elephant1,elephant,4.491576e-08,0.48617512,0.48617512,0,1,0,elephant,,,0,1
boat,knife1,knife,1.7469054e-05,0.00664159,0.00664159,0,1,0,knife,,,0,1
boat,oven1,keyboard,1.8509028e-05,6.483896e-05,0.00018285387,0,0,1,oven,,,0,1
boat,truck2,truck,0.0022913488,0.021912944,0.021912944,0,1,0,truck,,,0,1
boat,airplane2,boat,0.002178201,0.00064068194,0.002178201,1,0,0,boat,,,1,0
boat,bear3,bear,8.964645e-05,0.011959808,0.011959808,0,1,0,bear,,,0,1
boat,bird1,bottle,0.0001625573,0.00079784147,0.0041500344,0,0,1,bird,,,0,1
boat,cat3,cat,0.00028035662,0.0028509183,0.0028509183,0,1,0,cat,,,0,1
boat,chair2,boat,0.0070080743,0.00075747096,0.0070080743,1,0,0,boat,,,1,0
boat,clock1,clock,1.7875705e-05,0.02801232,0.02801232,0,1,0,clock,,,0,1
boat,dog2,dog,5.5735087e-05,0.004951119,0.004951119,0,1,0,dog,,,0,1
boat,keyboard2,bottle,3.8412127e-05,0.000511394,0.06598403,0,0,1,keyboard,,,0,1
boat,knife2,truck,6.1362065e-05,0.003510017,0.009439066,0,0,1,knife,,,0,1
