Shape,Texture,Decision,Shape Category Value,Texture Category Value,Decision Category Value,Shape Decision,Texture Decision,Neither,Restricted Decision,Restriced Shape Value,Restricted Texture Value,Restricted Shape Decision,Restricted Texture Decision
bottle,bear1,bear,0.00015208617,0.024334505,0.024334505,0,1,0,bear,,,0,1
bottle,bird3,bottle,0.0021106906,0.00062498753,0.0021106906,1,0,0,bottle,,,1,0
bottle,car1,boat,0.0005882091,0.00043110424,0.0016561905,0,0,1,bottle,,,1,0
bottle,cat3,cat,0.0003729796,0.016139964,0.016139964,0,1,0,cat,,,0,1
bottle,chair2,chair,0.00021107671,0.0035003978,0.0035003978,0,1,0,chair,,,0,1
bottle,clock1,clock,0.010920071,0.028045489,0.028045489,0,1,0,clock,,,0,1
bottle,dog2,dog,5.5624155e-06,0.009162906,0.009162906,0,1,0,dog,,,0,1
bottle,keyboard3,bottle,0.05685867,4.6427343e-05,0.05685867,1,0,0,bottle,,,1,0
bottle,bear2,bear,0.00010991255,0.22327748,0.22327748,0,1,0,bear,,,0,1
bottle,boat3,clock,0.00033190934,5.160644e-05,0.00033275745,0,0,1,bottle,,,1,0
bottle,car1,boat,0.0005882091,0.00043110424,0.0016561905,0,0,1,bottle,,,1,0
bottle,clock2,bottle,0.029107813,0.00864553,0.029107813,1,0,0,bottle,,,1,0
bottle,dog1,dog,2.0104277e-05,0.00021351628,0.00021351628,0,1,0,dog,,,0,1
bottle,truck3,bottle,0.036083613,0.0014356663,0.036083613,1,0,0,bottle,,,1,0
bottle,car2,bottle,0.0020331321,3.697693e-05,0.0020331321,1,0,0,bottle,,,1,0
bottle,chair3,chair,0.0011659293,0.0018680735,0.0018680735,0,1,0,chair,,,0,1
bottle,clock1,clock,0.010920071,0.028045489,0.028045489,0,1,0,clock,,,0,1
bottle,elephant1,elephant,4.770393e-08,0.41469592,0.41469592,0,1,0,elephant,,,0,1
bottle,knife3,bottle,0.019937562,0.00080320134,0.019937562,1,0,0,bottle,,,1,0
bottle,airplane2,bottle,0.0028956772,0.00082285644,0.0028956772,1,0,0,bottle,,,1,0
bottle,bear2,bear,0.00010991255,0.22327748,0.22327748,0,1,0,bear,,,0,1
bottle,bicycle3,bottle,0.0011525789,1.9042775e-05,0.0011525789,1,0,0,bottle,,,1,0
bottle,bird1,bottle,0.05857151,0.0018895791,0.05857151,1,0,0,bottle,,,1,0
bottle,boat3,clock,0.00033190934,5.160644e-05,0.00033275745,0,0,1,bottle,,,1,0
bottle,cat3,cat,0.0003729796,0.016139964,0.016139964,0,1,0,cat,,,0,1
bottle,chair3,chair,0.0011659293,0.0018680735,0.0018680735,0,1,0,chair,,,0,1
bottle,knife3,bottle,0.019937562,0.00080320134,0.019937562,1,0,0,bottle,,,1,0
bottle,airplane1,clock,0.0005132828,0.0008564461,0.008701877,0,0,1,airplane,,,0,1
bottle,bicycle1,bottle,0.001194083,7.104866e-05,0.001194083,1,0,0,bottle,,,1,0
bottle,car3,car,0.0012839568,0.02571716,0.02571716,0,1,0,car,,,0,1
bottle,dog2,dog,5.5624155e-06,0.009162906,0.009162906,0,1,0,dog,,,0,1
bottle,oven2,bottle,0.003786195,0.0006601575,0.003786195,1,0,0,bottle,,,1,0
bottle,truck1,bottle,0.097837396,6.299198e-05,0.097837396,1,0,0,bottle,,,1,0
bottle,airplane1,clock,0.0005132828,0.0008564461,0.008701877,0,0,1,airplane,,,0,1
bottle,bird3,bottle,0.0021106906,0.00062498753,0.0021106906,1,0,0,bottle,,,1,0
bottle,boat1,bottle,0.008710836,0.00708927,0.008710836,1,0,0,bottle,,,1,0
bottle,cat1,cat,0.00032524872,0.008504329,0.008504329,0,1,0,cat,,,0,1
bottle,chair1,car,0.0010528207,0.00033424053,0.06921404,0,0,1,bottle,,,1,0
