Shape,Texture,Decision,Shape Category Value,Texture Category Value,Decision Category Value,Shape Decision,Texture Decision,Neither,Restricted Decision,Restriced Shape Value,Restricted Texture Value,Restricted Shape Decision,Restricted Texture Decision
car,airplane1,bottle,0.0005245179,0.00013511686,0.0023251772,0,0,1,car,,,1,0
car,car2,bottle,0.00047955292,0.00047955292,0.0023258587,0,0,1,car,,,1,1
car,chair3,bottle,0.0004860441,0.0011712457,0.0022988007,0,0,1,chair,,,0,1
car,clock2,bottle,0.00062839704,0.002133005,0.0023681489,0,0,1,clock,,,0,1
car,dog2,bottle,0.0005030043,0.0010048939,0.0023366602,0,0,1,dog,,,0,1
car,keyboard2,bottle,0.00047018778,0.000837349,0.002263526,0,0,1,keyboard,,,0,1
car,oven3,bottle,0.00051952904,0.0012078204,0.0023426698,0,0,1,oven,,,0,1
car,bicycle2,bottle,0.0005615035,0.00069110235,0.0023604888,0,0,1,bicycle,,,0,1
car,bottle3,bottle,0.00050684897,0.002152199,0.002152199,0,1,0,bottle,,,0,1
car,car1,bottle,0.00053628517,0.00053628517,0.0022561129,0,0,1,car,,,1,1
car,chair1,bottle,0.0004941719,0.0011528697,0.0024808252,0,0,1,chair,,,0,1
car,dog1,bottle,0.0005271651,0.0009758803,0.0024553488,0,0,1,dog,,,0,1
car,elephant2,bottle,0.0004890375,0.00042244064,0.002223971,0,0,1,car,,,1,0
car,keyboard2,bottle,0.00047018778,0.000837349,0.002263526,0,0,1,keyboard,,,0,1
car,bird3,bottle,0.0005087736,0.0003740604,0.0024702544,0,0,1,car,,,1,0
car,car3,bottle,0.00050322484,0.00050322484,0.002407588,0,0,1,car,,,1,1
car,cat3,bottle,0.0005048701,0.0012422767,0.0022029958,0,0,1,cat,,,0,1
car,chair1,bottle,0.0004941719,0.0011528697,0.0024808252,0,0,1,chair,,,0,1
car,knife3,bottle,0.00056645565,0.0016929362,0.0022967479,0,0,1,knife,,,0,1
car,airplane3,bottle,0.0004986914,0.00014222169,0.0023607577,0,0,1,car,,,1,0
car,bird2,bottle,0.00056097575,0.00039882402,0.002275848,0,0,1,car,,,1,0
car,boat1,bottle,0.00053257425,0.0004057467,0.0023811813,0,0,1,car,,,1,0
car,bottle3,bottle,0.00050684897,0.002152199,0.002152199,0,1,0,bottle,,,0,1
car,dog2,bottle,0.0005030043,0.0010048939,0.0023366602,0,0,1,dog,,,0,1
car,elephant3,bottle,0.0005757617,0.00039772573,0.0024439443,0,0,1,car,,,1,0
car,oven3,bottle,0.00051952904,0.0012078204,0.0023426698,0,0,1,oven,,,0,1
car,truck1,bottle,0.00058051065,0.00058398827,0.0023662169,0,0,1,truck,,,0,1
car,bear3,bottle,0.00051566376,0.00029471453,0.002227184,0,0,1,car,,,1,0
car,bicycle3,bottle,0.0005481784,0.0007275521,0.002475433,0,0,1,bicycle,,,0,1
car,bird1,bottle,0.00051709934,0.0003683247,0.0024177681,0,0,1,car,,,1,0
car,boat1,bottle,0.00053257425,0.0004057467,0.0023811813,0,0,1,car,,,1,0
car,bottle1,bottle,0.00052133074,0.0022767182,0.0022767182,0,1,0,bottle,,,0,1
car,car2,bottle,0.00047955292,0.00047955292,0.0023258587,0,0,1,car,,,1,1
car,cat3,bottle,0.0005048701,0.0012422767,0.0022029958,0,0,1,cat,,,0,1
car,clock1,bottle,0.00052212446,0.0020570946,0.0023902447,0,0,1,clock,,,0,1
car,elephant3,bottle,0.0005757617,0.00039772573,0.0024439443,0,0,1,car,,,1,0
car,oven2,bottle,0.00053579285,0.0011984062,0.0024922336,0,0,1,oven,,,0,1
car,airplane3,bottle,0.0004986914,0.00014222169,0.0023607577,0,0,1,car,,,1,0
car,bear3,bottle,0.00051566376,0.00029471453,0.002227184,0,0,1,car,,,1,0
car,bottle1,bottle,0.00052133074,0.0022767182,0.0022767182,0,1,0,bottle,,,0,1
