Shape,Texture,Decision,Shape Category Value,Texture Category Value,Decision Category Value,Shape Decision,Texture Decision,Neither,Restricted Decision,Restriced Shape Value,Restricted Texture Value,Restricted Shape Decision,Restricted Texture Decision
cat,airplane1,bottle,0.0012584972,0.00014198372,0.0022779584,0,0,1,cat,,,1,0
cat,bird1,bottle,0.0014239893,0.00036885965,0.0023041177,0,0,1,cat,,,1,0
cat,boat1,bottle,0.0012441959,0.00038312026,0.002361783,0,0,1,cat,,,1,0
cat,car2,bottle,0.0013872752,0.0004478297,0.002163639,0,0,1,cat,,,1,0
cat,cat3,bottle,0.0013343743,0.0013343743,0.0024145946,0,0,1,cat,,,1,1
cat,chair2,bottle,0.0012793482,0.0011101878,0.0022886877,0,0,1,cat,,,1,0
cat,dog1,bottle,0.0014972581,0.0011118443,0.0021095492,0,0,1,cat,,,1,0
cat,keyboard3,bottle,0.00123858,0.0008327294,0.0024962663,0,0,1,cat,,,1,0
cat,oven1,bottle,0.0014123274,0.0011689106,0.0023381591,0,0,1,cat,,,1,0
cat,airplane3,bottle,0.0013499857,0.00014188688,0.0022753864,0,0,1,cat,,,1,0
cat,bear1,bottle,0.0014116056,0.00035819807,0.0021601862,0,0,1,cat,,,1,0
cat,bicycle1,bottle,0.0012555489,0.00073436706,0.0021967802,0,0,1,cat,,,1,0
cat,bird2,bottle,0.0015115977,0.00042993057,0.00209884,0,0,1,cat,,,1,0
cat,bottle1,bottle,0.0014189236,0.0022469468,0.0022469468,0,1,0,bottle,,,0,1
cat,clock1,bottle,0.0013219513,0.0017679067,0.0021660638,0,0,1,clock,,,0,1
cat,elephant3,bottle,0.0016675069,0.0004852802,0.002115391,0,0,1,cat,,,1,0
cat,keyboard1,bottle,0.0013357314,0.00078341435,0.0023502198,0,0,1,cat,,,1,0
cat,oven2,bottle,0.001245017,0.0014198722,0.0023756365,0,0,1,oven,,,0,1
cat,boat2,bottle,0.0013649223,0.00037223878,0.0023416246,0,0,1,cat,,,1,0
cat,bottle3,bottle,0.0014808004,0.0021818609,0.0021818609,0,1,0,bottle,,,0,1
cat,car3,bottle,0.0013349209,0.0005334758,0.0020838354,0,0,1,cat,,,1,0
cat,cat1,bottle,0.0016330299,0.0016330299,0.0020346977,0,0,1,cat,,,1,1
cat,elephant1,bottle,0.0013653516,0.00043876132,0.0022781882,0,0,1,cat,,,1,0
cat,knife3,bottle,0.0013135351,0.0018381779,0.0022986382,0,0,1,knife,,,0,1
cat,truck3,bottle,0.0013872368,0.0004993289,0.0022678669,0,0,1,cat,,,1,0
cat,bear2,bottle,0.0013669427,0.00028431066,0.002254354,0,0,1,cat,,,1,0
cat,bicycle1,bottle,0.0012555489,0.00073436706,0.0021967802,0,0,1,cat,,,1,0
cat,cat1,bottle,0.0016330299,0.0016330299,0.0020346977,0,0,1,cat,,,1,1
cat,elephant2,bottle,0.001441799,0.000398871,0.0021972118,0,0,1,cat,,,1,0
cat,oven2,bottle,0.001245017,0.0014198722,0.0023756365,0,0,1,oven,,,0,1
cat,truck3,bottle,0.0013872368,0.0004993289,0.0022678669,0,0,1,cat,,,1,0
cat,airplane1,bottle,0.0012584972,0.00014198372,0.0022779584,0,0,1,cat,,,1,0
cat,bird2,bottle,0.0015115977,0.00042993057,0.00209884,0,0,1,cat,,,1,0
cat,car2,bottle,0.0013872752,0.0004478297,0.002163639,0,0,1,cat,,,1,0
cat,cat3,bottle,0.0013343743,0.0013343743,0.0024145946,0,0,1,cat,,,1,1
cat,chair2,bottle,0.0012793482,0.0011101878,0.0022886877,0,0,1,cat,,,1,0
cat,clock2,bottle,0.0011682309,0.0018413035,0.0022789312,0,0,1,clock,,,0,1
cat,dog3,bottle,0.0014548446,0.001107225,0.002345649,0,0,1,cat,,,1,0
cat,keyboard2,bottle,0.0013283159,0.0009883121,0.002214289,0,0,1,cat,,,1,0
cat,knife1,bottle,0.001251391,0.0018885041,0.0022498653,0,0,1,knife,,,0,1
cat,oven1,bottle,0.0014123274,0.0011689106,0.0023381591,0,0,1,cat,,,1,0
cat,truck3,bottle,0.0013872368,0.0004993289,0.0022678669,0,0,1,cat,,,1,0
cat,airplane2,bottle,0.0012257448,0.00014876697,0.002253908,0,0,1,cat,,,1,0
cat,bear2,bottle,0.0013669427,0.00028431066,0.002254354,0,0,1,cat,,,1,0
cat,bicycle3,bottle,0.0015714708,0.0007804819,0.0021743865,0,0,1,cat,,,1,0
cat,boat1,bottle,0.0012441959,0.00038312026,0.002361783,0,0,1,cat,,,1,0
cat,bottle1,bottle,0.0014189236,0.0022469468,0.0022469468,0,1,0,bottle,,,0,1
cat,car2,bottle,0.0013872752,0.0004478297,0.002163639,0,0,1,cat,,,1,0
cat,chair3,bottle,0.0013018254,0.0011764922,0.0021689818,0,0,1,cat,,,1,0
cat,dog3,bottle,0.0014548446,0.001107225,0.002345649,0,0,1,cat,,,1,0
cat,elephant2,bottle,0.001441799,0.000398871,0.0021972118,0,0,1,cat,,,1,0
cat,keyboard3,bottle,0.00123858,0.0008327294,0.0024962663,0,0,1,cat,,,1,0
cat,knife2,bottle,0.0012748387,0.0019761955,0.0022580684,0,0,1,knife,,,0,1
cat,bear1,bottle,0.0014116056,0.00035819807,0.0021601862,0,0,1,cat,,,1,0
cat,chair3,bottle,0.0013018254,0.0011764922,0.0021689818,0,0,1,cat,,,1,0
cat,clock3,bottle,0.0013906326,0.0018533171,0.002400628,0,0,1,clock,,,0,1
cat,keyboard3,bottle,0.00123858,0.0008327294,0.0024962663,0,0,1,cat,,,1,0
cat,oven1,bottle,0.0014123274,0.0011689106,0.0023381591,0,0,1,cat,,,1,0
cat,airplane2,bottle,0.0012257448,0.00014876697,0.002253908,0,0,1,cat,,,1,0
