Shape,Texture,Decision,Shape Category Value,Texture Category Value,Decision Category Value,Shape Decision,Texture Decision,Neither,Restricted Decision,Restriced Shape Value,Restricted Texture Value,Restricted Shape Decision,Restricted Texture Decision
chair,airplane2,car,0.00016575804,5.3965046e-05,0.021899996,0,0,1,chair,,,1,0
chair,bear1,bear,1.3314079e-06,0.017716615,0.017716615,0,1,0,bear,,,0,1
chair,cat3,cat,4.196828e-05,0.0025210243,0.0025210243,0,1,0,cat,,,0,1
chair,clock2,bottle,0.000121121426,0.0036291897,0.0055118734,0,0,1,clock,,,0,1
chair,dog1,dog,1.0935072e-06,3.860937e-05,3.860937e-05,0,1,0,dog,,,0,1
chair,elephant1,elephant,3.2798152e-07,0.4379195,0.4379195,0,1,0,elephant,,,0,1
chair,oven3,oven,2.0607952e-06,0.0020899423,0.0020899423,0,1,0,oven,,,0,1
chair,truck3,truck,0.0032849004,0.006558242,0.006558242,0,1,0,truck,,,0,1
chair,airplane2,car,0.00016575804,5.3965046e-05,0.021899996,0,0,1,chair,,,1,0
chair,bicycle1,bicycle,0.00020010922,0.013123566,0.013123566,0,1,0,bicycle,,,0,1
chair,bird3,oven,3.825129e-05,0.0005706368,0.017637586,0,0,1,bird,,,0,1
chair,bottle3,bottle,1.8721492e-05,0.053950142,0.053950142,0,1,0,bottle,,,0,1
chair,car2,bottle,1.4588374e-05,0.0003688617,0.00091534934,0,0,1,car,,,0,1
chair,cat1,cat,0.00080139295,0.004099552,0.004099552,0,1,0,cat,,,0,1
chair,clock1,clock,6.111652e-05,0.017046342,0.017046342,0,1,0,clock,,,0,1
chair,dog1,dog,1.0935072e-06,3.860937e-05,3.860937e-05,0,1,0,dog,,,0,1
chair,oven1,bottle,2.8641572e-05,1.2202695e-05,0.00012084424,0,0,1,chair,,,1,0
chair,bear2,bear,7.1895884e-06,0.19538581,0.19538581,0,1,0,bear,,,0,1
chair,boat1,chair,0.01672646,0.00057107175,0.01672646,1,0,0,chair,,,1,0
chair,keyboard2,bottle,5.134329e-05,0.0035587796,0.0061821747,0,0,1,keyboard,,,0,1
chair,knife1,knife,0.0003584315,0.047488704,0.047488704,0,1,0,knife,,,0,1
chair,airplane2,car,0.00016575804,5.3965046e-05,0.021899996,0,0,1,chair,,,1,0
chair,bicycle3,bottle,0.00060129375,3.564489e-05,0.001931633,0,0,1,chair,,,1,0
chair,bottle3,bottle,1.8721492e-05,0.053950142,0.053950142,0,1,0,bottle,,,0,1
chair,car3,car,8.039057e-05,0.14192747,0.14192747,0,1,0,car,,,0,1
chair,dog2,dog,5.245121e-05,0.004757697,0.004757697,0,1,0,dog,,,0,1
chair,knife1,knife,0.0003584315,0.047488704,0.047488704,0,1,0,knife,,,0,1
chair,bear2,bear,7.1895884e-06,0.19538581,0.19538581,0,1,0,bear,,,0,1
chair,cat2,cat,1.5422349e-05,0.046972763,0.046972763,0,1,0,cat,,,0,1
chair,keyboard2,bottle,5.134329e-05,0.0035587796,0.0061821747,0,0,1,keyboard,,,0,1
chair,oven2,oven,0.00020401119,0.11199787,0.11199787,0,1,0,oven,,,0,1
chair,truck2,truck,0.00022871583,0.04601182,0.04601182,0,1,0,truck,,,0,1
chair,bicycle1,bicycle,0.00020010922,0.013123566,0.013123566,0,1,0,bicycle,,,0,1
chair,bird1,bird,0.0004868637,0.0078847185,0.0078847185,0,1,0,bird,,,0,1
chair,boat3,chair,0.017500315,0.0006364421,0.017500315,1,0,0,chair,,,1,0
chair,bottle3,bottle,1.8721492e-05,0.053950142,0.053950142,0,1,0,bottle,,,0,1
chair,car1,bottle,0.00022238439,0.00029794135,0.0026526116,0,0,1,car,,,0,1
chair,cat3,cat,4.196828e-05,0.0025210243,0.0025210243,0,1,0,cat,,,0,1
chair,clock2,bottle,0.000121121426,0.0036291897,0.0055118734,0,0,1,clock,,,0,1
chair,keyboard2,bottle,5.134329e-05,0.0035587796,0.0061821747,0,0,1,keyboard,,,0,1
chair,knife3,knife,4.3758664e-05,0.016085012,0.016085012,0,1,0,knife,,,0,1
chair,oven2,oven,0.00020401119,0.11199787,0.11199787,0,1,0,oven,,,0,1
chair,truck3,truck,0.0032849004,0.006558242,0.006558242,0,1,0,truck,,,0,1
chair,bird2,bird,0.00016286792,0.004463826,0.004463826,0,1,0,bird,,,0,1
chair,dog1,dog,1.0935072e-06,3.860937e-05,3.860937e-05,0,1,0,dog,,,0,1
chair,elephant2,elephant,1.4920187e-09,0.4859398,0.4859398,0,1,0,elephant,,,0,1
chair,truck2,truck,0.00022871583,0.04601182,0.04601182,0,1,0,truck,,,0,1
chair,airplane1,knife,2.4869137e-06,0.0005260337,0.0009163475,0,0,1,airplane,,,0,1
chair,bird1,bird,0.0004868637,0.0078847185,0.0078847185,0,1,0,bird,,,0,1
chair,boat3,chair,0.017500315,0.0006364421,0.017500315,1,0,0,chair,,,1,0
chair,bottle1,bottle,0.00046227686,0.04969765,0.04969765,0,1,0,bottle,,,0,1
chair,car2,bottle,1.4588374e-05,0.0003688617,0.00091534934,0,0,1,car,,,0,1
chair,cat1,cat,0.00080139295,0.004099552,0.004099552,0,1,0,cat,,,0,1
chair,clock3,clock,3.5193523e-05,0.003274609,0.003274609,0,1,0,clock,,,0,1
chair,elephant1,elephant,3.2798152e-07,0.4379195,0.4379195,0,1,0,elephant,,,0,1
chair,knife2,bottle,0.0005144051,0.0038627281,0.013894901,0,0,1,knife,,,0,1
chair,truck3,truck,0.0032849004,0.006558242,0.006558242,0,1,0,truck,,,0,1
chair,airplane1,knife,2.4869137e-06,0.0005260337,0.0009163475,0,0,1,airplane,,,0,1
chair,bear1,bear,1.3314079e-06,0.017716615,0.017716615,0,1,0,bear,,,0,1
chair,bicycle3,bottle,0.00060129375,3.564489e-05,0.001931633,0,0,1,chair,,,1,0
chair,boat1,chair,0.01672646,0.00057107175,0.01672646,1,0,0,chair,,,1,0
chair,car1,bottle,0.00022238439,0.00029794135,0.0026526116,0,0,1,car,,,0,1
chair,clock3,clock,3.5193523e-05,0.003274609,0.003274609,0,1,0,clock,,,0,1
chair,elephant1,elephant,3.2798152e-07,0.4379195,0.4379195,0,1,0,elephant,,,0,1
chair,keyboard3,bottle,1.0524078e-05,6.9975504e-05,0.00391036,0,0,1,keyboard,,,0,1
chair,knife2,bottle,0.0005144051,0.0038627281,0.013894901,0,0,1,knife,,,0,1
chair,oven1,bottle,2.8641572e-05,1.2202695e-05,0.00012084424,0,0,1,chair,,,1,0
chair,bear1,bear,1.3314079e-06,0.017716615,0.017716615,0,1,0,bear,,,0,1
chair,bicycle3,bottle,0.00060129375,3.564489e-05,0.001931633,0,0,1,chair,,,1,0
chair,bird3,oven,3.825129e-05,0.0005706368,0.017637586,0,0,1,bird,,,0,1
chair,boat2,boat,0.00041204854,0.11039742,0.11039742,0,1,0,boat,,,0,1
chair,bottle3,bottle,1.8721492e-05,0.053950142,0.053950142,0,1,0,bottle,,,0,1
chair,dog2,dog,5.245121e-05,0.004757697,0.004757697,0,1,0,dog,,,0,1
chair,elephant1,elephant,3.2798152e-07,0.4379195,0.4379195,0,1,0,elephant,,,0,1
chair,keyboard2,bottle,5.134329e-05,0.0035587796,0.0061821747,0,0,1,keyboard,,,0,1
