Shape,Texture,Decision,Shape Category Value,Texture Category Value,Decision Category Value,Shape Decision,Texture Decision,Neither,Restricted Decision,Restriced Shape Value,Restricted Texture Value,Restricted Shape Decision,Restricted Texture Decision
clock,bear1,bear,1.1207056e-05,0.033885024,0.033885024,0,1,0,bear,,,0,1
clock,boat3,clock,0.00051665417,5.5552027e-06,0.00051665417,1,0,0,clock,,,1,0
clock,car1,car,0.00015270752,0.012729436,0.012729436,0,1,0,car,,,0,1
clock,dog2,clock,0.058249906,0.00016706191,0.058249906,1,0,0,clock,,,1,0
clock,elephant2,clock,0.08449625,0.0013940404,0.08449625,1,0,0,clock,,,1,0
clock,truck3,car,0.0021772478,0.0019832496,0.016638914,0,0,1,clock,,,1,0
clock,airplane1,clock,0.10321803,2.4487708e-05,0.10321803,1,0,0,clock,,,1,0
clock,bird3,clock,0.21839803,1.8335822e-05,0.21839803,1,0,0,clock,,,1,0
clock,boat2,boat,0.003919425,0.033607394,0.033607394,0,1,0,boat,,,0,1
clock,bottle1,clock,0.03755458,0.0040586786,0.03755458,1,0,0,clock,,,1,0
clock,cat1,cat,9.515084e-05,0.0032034947,0.0032034947,0,1,0,cat,,,0,1
clock,dog3,bear,4.865221e-06,0.0028617138,0.07150311,0,0,1,dog,,,0,1
clock,knife3,bottle,0.00079800474,0.00089587993,0.0012579694,0,0,1,knife,,,0,1
clock,oven2,oven,0.0009448724,0.027066775,0.027066775,0,1,0,oven,,,0,1
clock,truck2,car,0.00015454598,0.0056086257,0.11086455,0,0,1,truck,,,0,1
clock,bear2,clock,0.0053425585,0.002385986,0.0053425585,1,0,0,clock,,,1,0
clock,bicycle1,clock,0.013395149,0.001509544,0.013395149,1,0,0,clock,,,1,0
clock,bottle3,bottle,0.013556145,0.0264122,0.0264122,0,1,0,bottle,,,0,1
clock,dog1,bottle,0.0012813153,9.5416886e-05,0.010872757,0,0,1,clock,,,1,0
clock,elephant2,clock,0.08449625,0.0013940404,0.08449625,1,0,0,clock,,,1,0
clock,knife1,clock,0.056518037,2.2778591e-05,0.056518037,1,0,0,clock,,,1,0
clock,bear3,bear,9.404208e-05,0.0124089345,0.0124089345,0,1,0,bear,,,0,1
clock,bicycle2,clock,0.0031666905,2.0785214e-05,0.0031666905,1,0,0,clock,,,1,0
clock,bird1,clock,0.31637263,2.284113e-06,0.31637263,1,0,0,clock,,,1,0
clock,car2,clock,0.009089847,0.0021294681,0.009089847,1,0,0,clock,,,1,0
clock,cat1,cat,9.515084e-05,0.0032034947,0.0032034947,0,1,0,cat,,,0,1
clock,dog2,clock,0.058249906,0.00016706191,0.058249906,1,0,0,clock,,,1,0
clock,elephant3,elephant,0.00033537028,0.31410548,0.31410548,0,1,0,elephant,,,0,1
clock,keyboard3,clock,0.069391705,0.00015642282,0.069391705,1,0,0,clock,,,1,0
clock,airplane1,clock,0.10321803,2.4487708e-05,0.10321803,1,0,0,clock,,,1,0
clock,bird3,clock,0.21839803,1.8335822e-05,0.21839803,1,0,0,clock,,,1,0
clock,boat3,clock,0.00051665417,5.5552027e-06,0.00051665417,1,0,0,clock,,,1,0
clock,bottle3,bottle,0.013556145,0.0264122,0.0264122,0,1,0,bottle,,,0,1
clock,car2,clock,0.009089847,0.0021294681,0.009089847,1,0,0,clock,,,1,0
clock,chair1,car,0.0004951659,0.000504047,0.19593154,0,0,1,chair,,,0,1
clock,elephant2,clock,0.08449625,0.0013940404,0.08449625,1,0,0,clock,,,1,0
clock,knife1,clock,0.056518037,2.2778591e-05,0.056518037,1,0,0,clock,,,1,0
clock,oven1,oven,0.00045125923,0.011590093,0.011590093,0,1,0,oven,,,0,1
clock,airplane1,clock,0.10321803,2.4487708e-05,0.10321803,1,0,0,clock,,,1,0
clock,bicycle1,clock,0.013395149,0.001509544,0.013395149,1,0,0,clock,,,1,0
clock,chair3,car,0.00026806563,0.0006159493,0.00143671,0,0,1,chair,,,0,1
clock,elephant2,clock,0.08449625,0.0013940404,0.08449625,1,0,0,clock,,,1,0
clock,keyboard1,clock,0.017070334,0.0004942596,0.017070334,1,0,0,clock,,,1,0
clock,oven1,oven,0.00045125923,0.011590093,0.011590093,0,1,0,oven,,,0,1
clock,bicycle1,clock,0.013395149,0.001509544,0.013395149,1,0,0,clock,,,1,0
clock,bird3,clock,0.21839803,1.8335822e-05,0.21839803,1,0,0,clock,,,1,0
clock,bottle1,clock,0.03755458,0.0040586786,0.03755458,1,0,0,clock,,,1,0
clock,car2,clock,0.009089847,0.0021294681,0.009089847,1,0,0,clock,,,1,0
clock,chair3,car,0.00026806563,0.0006159493,0.00143671,0,0,1,chair,,,0,1
clock,knife2,clock,0.011682677,5.796593e-05,0.011682677,1,0,0,clock,,,1,0
clock,oven1,oven,0.00045125923,0.011590093,0.011590093,0,1,0,oven,,,0,1
clock,truck3,car,0.0021772478,0.0019832496,0.016638914,0,0,1,clock,,,1,0
clock,bear2,clock,0.0053425585,0.002385986,0.0053425585,1,0,0,clock,,,1,0
clock,bicycle1,clock,0.013395149,0.001509544,0.013395149,1,0,0,clock,,,1,0
clock,boat3,clock,0.00051665417,5.5552027e-06,0.00051665417,1,0,0,clock,,,1,0
clock,bottle2,bottle,0.008581588,0.01266246,0.01266246,0,1,0,bottle,,,0,1
clock,car1,car,0.00015270752,0.012729436,0.012729436,0,1,0,car,,,0,1
clock,cat2,clock,0.029726103,0.007567493,0.029726103,1,0,0,clock,,,1,0
clock,dog2,clock,0.058249906,0.00016706191,0.058249906,1,0,0,clock,,,1,0
clock,keyboard2,keyboard,0.0020485066,0.0048373076,0.0048373076,0,1,0,keyboard,,,0,1
clock,truck3,car,0.0021772478,0.0019832496,0.016638914,0,0,1,clock,,,1,0
clock,airplane2,clock,0.052515134,0.0018686065,0.052515134,1,0,0,clock,,,1,0
clock,bear2,clock,0.0053425585,0.002385986,0.0053425585,1,0,0,clock,,,1,0
clock,boat1,clock,0.07329195,0.0016812142,0.07329195,1,0,0,clock,,,1,0
clock,cat1,cat,9.515084e-05,0.0032034947,0.0032034947,0,1,0,cat,,,0,1
clock,chair2,clock,0.047067657,0.017342055,0.047067657,1,0,0,clock,,,1,0
clock,keyboard1,clock,0.017070334,0.0004942596,0.017070334,1,0,0,clock,,,1,0
clock,knife1,clock,0.056518037,2.2778591e-05,0.056518037,1,0,0,clock,,,1,0
clock,oven3,truck,0.00061263127,0.00035275533,0.0022843226,0,0,1,clock,,,1,0
clock,truck2,car,0.00015454598,0.0056086257,0.11086455,0,0,1,truck,,,0,1
clock,airplane1,clock,0.10321803,2.4487708e-05,0.10321803,1,0,0,clock,,,1,0
clock,bird2,clock,0.14117338,7.5401385e-07,0.14117338,1,0,0,clock,,,1,0
clock,cat1,cat,9.515084e-05,0.0032034947,0.0032034947,0,1,0,cat,,,0,1
