Shape,Texture,Decision,Shape Category Value,Texture Category Value,Decision Category Value,Shape Decision,Texture Decision,Neither,Restricted Decision,Restriced Shape Value,Restricted Texture Value,Restricted Shape Decision,Restricted Texture Decision
elephant,airplane2,bottle,0.00042794138,0.00014571226,0.002357312,0,0,1,elephant,,,1,0
elephant,bear2,bottle,0.0005337169,0.0003315392,0.0022335395,0,0,1,elephant,,,1,0
elephant,boat2,bottle,0.0004356138,0.000378504,0.0023535301,0,0,1,elephant,,,1,0
elephant,bottle1,bottle,0.0004199338,0.0023702153,0.0023702153,0,1,0,bottle,,,0,1
elephant,car3,bottle,0.0005183512,0.00048470372,0.0022555324,0,0,1,elephant,,,1,0
elephant,chair1,bottle,0.00041442894,0.001132522,0.0023964122,0,0,1,chair,,,0,1
elephant,dog2,bottle,0.00057577604,0.0010647397,0.0022483233,0,0,1,dog,,,0,1
elephant,keyboard3,bottle,0.00039742026,0.00095044146,0.0023328145,0,0,1,keyboard,,,0,1
elephant,oven2,bottle,0.00048575443,0.0013084715,0.0022681686,0,0,1,oven,,,0,1
elephant,bear1,bottle,0.00044282357,0.00034839538,0.0022913178,0,0,1,elephant,,,1,0
elephant,elephant1,bottle,0.00050300895,0.00050300895,0.0021690705,0,0,1,elephant,,,1,1
elephant,keyboard1,bottle,0.00041840854,0.000849321,0.0022929546,0,0,1,keyboard,,,0,1
elephant,knife3,bottle,0.0004155332,0.0022467051,0.0023754614,0,0,1,knife,,,0,1
elephant,airplane3,bottle,0.00047633104,0.00014352288,0.0023199846,0,0,1,elephant,,,1,0
elephant,bear3,bottle,0.0004866168,0.00031464643,0.002333904,0,0,1,elephant,,,1,0
elephant,bird1,bottle,0.000493216,0.0004161775,0.0022722764,0,0,1,elephant,,,1,0
elephant,boat1,bottle,0.00045521418,0.0003838358,0.0024045906,0,0,1,elephant,,,1,0
elephant,bottle3,bottle,0.00054524717,0.0022443885,0.0022443885,0,1,0,bottle,,,0,1
elephant,cat1,bottle,0.00058048556,0.0012369334,0.0021813298,0,0,1,cat,,,0,1
elephant,clock1,bottle,0.00044539713,0.0018775134,0.0024399378,0,0,1,clock,,,0,1
elephant,elephant3,bottle,0.0005758895,0.0005758895,0.0021894465,0,0,1,elephant,,,1,1
elephant,keyboard3,bottle,0.00039742026,0.00095044146,0.0023328145,0,0,1,keyboard,,,0,1
elephant,truck2,bottle,0.00046639232,0.0005622138,0.0023628063,0,0,1,truck,,,0,1
elephant,cat2,bottle,0.00049249537,0.0013129953,0.0022502001,0,0,1,cat,,,0,1
elephant,chair1,bottle,0.00041442894,0.001132522,0.0023964122,0,0,1,chair,,,0,1
