Shape,Texture,Decision,Shape Category Value,Texture Category Value,Decision Category Value,Shape Decision,Texture Decision,Neither,Restricted Decision,Restriced Shape Value,Restricted Texture Value,Restricted Shape Decision,Restricted Texture Decision
keyboard,bear2,bottle,0.0007826864,0.00033971306,0.002149369,0,0,1,keyboard,,,1,0
keyboard,bird2,bottle,0.00094056886,0.0004093941,0.0022834756,0,0,1,keyboard,,,1,0
keyboard,car3,bottle,0.000834214,0.00050804985,0.002248131,0,0,1,keyboard,,,1,0
keyboard,car1,bottle,0.00088100875,0.00045581663,0.0023347395,0,0,1,keyboard,,,1,0
keyboard,clock1,bottle,0.00093700277,0.0021419898,0.002314411,0,0,1,clock,,,0,1
keyboard,knife1,bottle,0.00085341616,0.0019106405,0.0022145596,0,0,1,knife,,,0,1
keyboard,bird1,bottle,0.00077953225,0.00042449246,0.0021908497,0,0,1,keyboard,,,1,0
keyboard,boat2,bottle,0.0009160489,0.0003900191,0.002354127,0,0,1,keyboard,,,1,0
keyboard,bottle2,bottle,0.00080893975,0.0022194113,0.0022194113,0,1,0,bottle,,,0,1
keyboard,car2,bottle,0.00083877624,0.0005033513,0.002346086,0,0,1,keyboard,,,1,0
keyboard,chair1,bottle,0.0008217533,0.0011668068,0.002442883,0,0,1,chair,,,0,1
keyboard,elephant1,bottle,0.00080457085,0.00043179863,0.0022795417,0,0,1,keyboard,,,1,0
keyboard,knife2,bottle,0.00082171324,0.0020303146,0.0021002982,0,0,1,knife,,,0,1
keyboard,knife1,bottle,0.00085341616,0.0019106405,0.0022145596,0,0,1,knife,,,0,1
keyboard,dog3,bottle,0.0008458947,0.0011114771,0.0022360405,0,0,1,dog,,,0,1
keyboard,airplane3,bottle,0.0008967148,0.00016579304,0.0024317591,0,0,1,keyboard,,,1,0
keyboard,elephant2,bottle,0.00079365796,0.0004692329,0.0022893276,0,0,1,keyboard,,,1,0
keyboard,keyboard2,bottle,0.0008738709,0.0008738709,0.0023568266,0,0,1,keyboard,,,1,1
