Shape,Texture,Decision,Shape Category Value,Texture Category Value,Decision Category Value,Shape Decision,Texture Decision,Neither,Restricted Decision,Restriced Shape Value,Restricted Texture Value,Restricted Shape Decision,Restricted Texture Decision
oven,bicycle1,clock,0.0012529343,0.0006468068,0.0021995257,0,0,1,oven,,,1,0
oven,bird2,bottle,0.001249146,0.0004305743,0.0022504025,0,0,1,oven,,,1,0
oven,oven3,bottle,0.0013360544,0.0013360544,0.002350426,0,0,1,oven,,,1,1
oven,bear2,bottle,0.0013752982,0.0002780539,0.0022022387,0,0,1,oven,,,1,0
oven,bottle3,bottle,0.0014296354,0.0021203912,0.0021203912,0,1,0,bottle,,,0,1
oven,bottle2,bottle,0.0013957283,0.0022711966,0.0022711966,0,1,0,bottle,,,0,1
oven,chair1,bottle,0.0012651326,0.0012087567,0.0023653687,0,0,1,oven,,,1,0
oven,keyboard3,bottle,0.0012852796,0.00083064375,0.0024086966,0,0,1,oven,,,1,0
oven,dog3,bottle,0.0013978462,0.0009907961,0.0022643502,0,0,1,oven,,,1,0
oven,bear2,bottle,0.0013752982,0.0002780539,0.0022022387,0,0,1,oven,,,1,0
oven,oven3,bottle,0.0013360544,0.0013360544,0.002350426,0,0,1,oven,,,1,1
oven,cat1,bottle,0.0012808354,0.0012745281,0.0022533215,0,0,1,oven,,,1,0
oven,chair1,bottle,0.0012651326,0.0012087567,0.0023653687,0,0,1,oven,,,1,0
oven,knife2,bottle,0.0013835714,0.0020622225,0.002362335,0,0,1,knife,,,0,1
oven,airplane2,bottle,0.0013388528,0.00013811182,0.0024085178,0,0,1,oven,,,1,0
oven,bird3,bottle,0.0013746511,0.0004214167,0.0024631645,0,0,1,oven,,,1,0
oven,boat2,bottle,0.001465315,0.0003919254,0.0023641798,0,0,1,oven,,,1,0
oven,chair1,bottle,0.0012651326,0.0012087567,0.0023653687,0,0,1,oven,,,1,0
