Shape Category,Number Shape Decisions,Number Texture Decisions,Number Neither,Number Restricted Shape Decisions,Number Restricted Texture Decisions,Total Number Stimuli
airplane,3,36,36,6,69,75
bear,6,40,29,6,69,75
bicycle,13,17,45,22,53,75
bird,0,50,25,1,74,75
boat,6,41,28,8,67,75
bottle,33,31,11,41,34,75
car,27,31,17,30,45,75
cat,5,43,27,5,70,75
chair,4,46,25,12,63,75
clock,43,19,13,48,27,75
dog,5,44,26,6,69,75
elephant,3,47,25,3,72,75
keyboard,7,47,21,9,66,75
knife,0,47,28,2,73,75
oven,8,40,27,14,61,75
truck,14,43,18,22,53,75
total,177,622,401,235,965,1200
