Shape,Texture,Decision,Shape Category Value,Texture Category Value,Decision Category Value,Shape Decision,Texture Decision,Neither,Restricted Decision,Restriced Shape Value,Restricted Texture Value,Restricted Shape Decision,Restricted Texture Decision
bear,airplane3,knife,9.9943936e-05,1.6883187e-05,0.0026546724,0,0,1,bear,,,1,0
bear,bear3,knife,0.00011274406,0.00011274406,0.0067903465,0,0,1,bear,,,1,1
bear,bicycle3,bottle,8.2938066e-05,0.00027152844,0.0027682576,0,0,1,bicycle,,,0,1
bear,bird2,bottle,0.0001293938,0.0003087881,0.0027691114,0,0,1,bird,,,0,1
bear,chair2,knife,0.00011324686,0.00072353735,0.0022615565,0,0,1,chair,,,0,1
bear,clock2,knife,7.942975e-05,0.0004476454,0.0033085647,0,0,1,clock,,,0,1
bear,elephant1,knife,0.0002747134,0.0005322586,0.001668601,0,0,1,elephant,,,0,1
bear,bear2,bottle,9.024749e-05,9.024749e-05,0.0021103106,0,0,1,bear,,,1,1
bear,bottle1,knife,0.0001160999,0.002365597,0.004639124,0,0,1,bottle,,,0,1
bear,car2,knife,9.25421e-05,4.4894638e-05,0.0021480895,0,0,1,bear,,,1,0
bear,cat2,knife,0.00013939638,0.0009030178,0.004370953,0,0,1,cat,,,0,1
bear,chair2,knife,0.00011324686,0.00072353735,0.0022615565,0,0,1,chair,,,0,1
bear,clock1,knife,8.044736e-05,0.0007202968,0.0028318118,0,0,1,clock,,,0,1
bear,elephant1,knife,0.0002747134,0.0005322586,0.001668601,0,0,1,elephant,,,0,1
bear,keyboard3,dog,0.00031809392,0.00018960438,0.0019123591,0,0,1,bear,,,1,0
bear,knife2,knife,9.109821e-05,0.0038063196,0.0038063196,0,1,0,knife,,,0,1
bear,oven1,knife,9.207832e-05,0.0013485359,0.0038483758,0,0,1,oven,,,0,1
bear,truck1,bottle,0.00012522344,5.197984e-05,0.0021451688,0,0,1,bear,,,1,0
bear,airplane1,bottle,0.00018693396,2.7617496e-06,0.0022855212,0,0,1,bear,,,1,0
