Shape,Texture,Decision,Shape Category Value,Texture Category Value,Decision Category Value,Shape Decision,Texture Decision,Neither,Restricted Decision,Restriced Shape Value,Restricted Texture Value,Restricted Shape Decision,Restricted Texture Decision
bird,airplane2,knife,0.00033601958,3.083659e-06,0.003830106,0,0,1,bird,,,1,0
bird,bear1,knife,0.0005170607,0.00011941234,0.0041484362,0,0,1,bird,,,1,0
bird,bicycle2,knife,0.0004156031,0.00024140952,0.002119528,0,0,1,bird,,,1,0
bird,boat1,bottle,0.00047327986,0.00016548493,0.0019827436,0,0,1,bird,,,1,0
bird,chair2,knife,0.00038152412,0.00029719324,0.003023593,0,0,1,bird,,,1,0
bird,clock3,knife,0.00047998785,0.0007673381,0.002890262,0,0,1,clock,,,0,1
bird,elephant2,knife,0.0004790207,0.00012573264,0.0033403742,0,0,1,bird,,,1,0
bird,keyboard3,bottle,0.00014091107,0.000109752276,0.0034396716,0,0,1,bird,,,1,0
bird,knife3,knife,0.00044257526,0.0018349014,0.0018349014,0,1,0,knife,,,0,1
bird,oven1,bottle,0.00025042525,0.00042387552,0.0026841483,0,0,1,oven,,,0,1
bird,truck1,knife,0.00032607725,6.8715715e-05,0.002948404,0,0,1,bird,,,1,0
bird,bear2,bottle,0.00043458253,0.00015101543,0.00211254,0,0,1,bird,,,1,0
bird,bicycle1,knife,0.00030603286,0.00020428521,0.0046879356,0,0,1,bird,,,1,0
bird,bird2,knife,0.00022064659,0.00022064659,0.0026201264,0,0,1,bird,,,1,1
bird,cat1,cat,0.0005671378,0.002845316,0.002845316,0,1,0,cat,,,0,1
bird,chair1,knife,0.00034031086,0.00060955144,0.0021431814,0,0,1,chair,,,0,1
bird,clock1,knife,0.0005404787,0.00045010666,0.002277025,0,0,1,bird,,,1,0
bird,elephant2,knife,0.0004790207,0.00012573264,0.0033403742,0,0,1,bird,,,1,0
bird,airplane3,oven,0.00031007026,1.5296884e-05,0.002481668,0,0,1,bird,,,1,0
bird,bird2,knife,0.00022064659,0.00022064659,0.0026201264,0,0,1,bird,,,1,1
bird,car3,bottle,0.00039532466,8.553404e-05,0.0024822238,0,0,1,bird,,,1,0
bird,clock3,knife,0.00047998785,0.0007673381,0.002890262,0,0,1,clock,,,0,1
