Shape,Texture,Decision,Shape Category Value,Texture Category Value,Decision Category Value,Shape Decision,Texture Decision,Neither,Restricted Decision,Restriced Shape Value,Restricted Texture Value,Restricted Shape Decision,Restricted Texture Decision
boat,bear1,knife,0.00013595323,4.8409755e-05,0.0037950943,0,0,1,boat,,,1,0
boat,bicycle2,knife,7.216902e-05,0.00017667406,0.008413464,0,0,1,bicycle,,,0,1
boat,bird3,knife,0.00010595756,0.0004062032,0.0024883384,0,0,1,bird,,,0,1
boat,car2,bottle,0.00016546668,6.4220076e-05,0.0030347689,0,0,1,boat,,,1,0
boat,chair3,bottle,7.833786e-05,0.00061050104,0.0038479988,0,0,1,chair,,,0,1
boat,elephant3,knife,6.5030705e-05,8.2255436e-05,0.0032952477,0,0,1,elephant,,,0,1
boat,keyboard3,bottle,0.00018377244,0.00010890121,0.0041337204,0,0,1,boat,,,1,0
boat,oven1,knife,5.67992e-05,0.00061834947,0.004843574,0,0,1,oven,,,0,1
boat,truck3,knife,0.00010404167,5.5613527e-05,0.0025924686,0,0,1,boat,,,1,0
boat,bear3,knife,0.00016153307,0.00013231518,0.0059225517,0,0,1,boat,,,1,0
boat,boat3,knife,9.502111e-05,9.502111e-05,0.0057742484,0,0,1,boat,,,1,1
boat,cat1,knife,0.00012310973,0.0013727047,0.0024127937,0,0,1,cat,,,0,1
boat,oven1,knife,5.67992e-05,0.00061834947,0.004843574,0,0,1,oven,,,0,1
boat,truck1,knife,0.00016028462,8.154777e-05,0.0023838547,0,0,1,boat,,,1,0
boat,airplane1,oven,7.1558046e-05,6.8783334e-06,0.0029556288,0,0,1,boat,,,1,0
boat,bear3,knife,0.00016153307,0.00013231518,0.0059225517,0,0,1,boat,,,1,0
boat,bird1,bottle,0.0001097415,0.00035527203,0.0024840052,0,0,1,bird,,,0,1
boat,bottle2,knife,4.421743e-05,0.002209868,0.0022459598,0,0,1,bottle,,,0,1
boat,keyboard1,knife,4.111733e-05,9.060447e-05,0.0031785842,0,0,1,keyboard,,,0,1
boat,oven3,bottle,0.0001160854,0.0007289399,0.0021438568,0,0,1,oven,,,0,1
boat,airplane2,knife,0.0001537168,2.9222569e-05,0.003491342,0,0,1,boat,,,1,0
boat,bicycle2,knife,7.216902e-05,0.00017667406,0.008413464,0,0,1,bicycle,,,0,1
boat,car3,knife,8.867428e-05,4.240368e-05,0.002195965,0,0,1,boat,,,1,0
boat,cat3,bottle,4.2962136e-05,0.0016086465,0.0024775544,0,0,1,cat,,,0,1
boat,chair3,bottle,7.833786e-05,0.00061050104,0.0038479988,0,0,1,chair,,,0,1
boat,clock3,knife,6.912108e-05,0.00055357796,0.0037447438,0,0,1,clock,,,0,1
boat,dog3,knife,7.2454764e-05,0.0017102105,0.00214428,0,0,1,dog,,,0,1
boat,keyboard2,bottle,6.2439816e-05,0.00012217594,0.0032939934,0,0,1,keyboard,,,0,1
boat,bicycle3,bottle,8.045445e-05,0.0002800802,0.0031690714,0,0,1,bicycle,,,0,1
boat,bird1,bottle,0.0001097415,0.00035527203,0.0024840052,0,0,1,bird,,,0,1
boat,boat3,knife,9.502111e-05,9.502111e-05,0.0057742484,0,0,1,boat,,,1,1
boat,bottle2,knife,4.421743e-05,0.002209868,0.0022459598,0,0,1,bottle,,,0,1
boat,car3,knife,8.867428e-05,4.240368e-05,0.002195965,0,0,1,boat,,,1,0
boat,chair2,knife,4.734404e-05,0.0007149785,0.0046034846,0,0,1,chair,,,0,1
boat,dog2,knife,0.00013474184,0.0014452077,0.0021419523,0,0,1,dog,,,0,1
boat,elephant2,bottle,8.7371205e-05,0.00025701502,0.0020558254,0,0,1,elephant,,,0,1
boat,knife2,knife,0.00014326457,0.0035274012,0.0035274012,0,1,0,knife,,,0,1
boat,airplane1,oven,7.1558046e-05,6.8783334e-06,0.0029556288,0,0,1,boat,,,1,0
boat,bicycle3,bottle,8.045445e-05,0.0002800802,0.0031690714,0,0,1,bicycle,,,0,1
boat,boat3,knife,9.502111e-05,9.502111e-05,0.0057742484,0,0,1,boat,,,1,1
boat,car3,knife,8.867428e-05,4.240368e-05,0.002195965,0,0,1,boat,,,1,0
boat,clock3,knife,6.912108e-05,0.00055357796,0.0037447438,0,0,1,clock,,,0,1
boat,knife2,knife,0.00014326457,0.0035274012,0.0035274012,0,1,0,knife,,,0,1
boat,airplane2,knife,0.0001537168,2.9222569e-05,0.003491342,0,0,1,boat,,,1,0
boat,bear1,knife,0.00013595323,4.8409755e-05,0.0037950943,0,0,1,boat,,,1,0
boat,bicycle2,knife,7.216902e-05,0.00017667406,0.008413464,0,0,1,bicycle,,,0,1
boat,bottle2,knife,4.421743e-05,0.002209868,0.0022459598,0,0,1,bottle,,,0,1
boat,car1,bottle,9.491335e-05,5.6959772e-05,0.0029047236,0,0,1,boat,,,1,0
boat,cat1,knife,0.00012310973,0.0013727047,0.0024127937,0,0,1,cat,,,0,1
boat,clock2,knife,0.00013075177,0.00054740976,0.004793805,0,0,1,clock,,,0,1
boat,dog1,dog,5.1650808e-05,0.0022699365,0.0022699365,0,1,0,dog,,,0,1
boat,elephant2,bottle,8.7371205e-05,0.00025701502,0.0020558254,0,0,1,elephant,,,0,1
boat,knife2,knife,0.00014326457,0.0035274012,0.0035274012,0,1,0,knife,,,0,1
boat,truck3,knife,0.00010404167,5.5613527e-05,0.0025924686,0,0,1,boat,,,1,0
boat,boat2,knife,5.7936588e-05,5.7936588e-05,0.0034471278,0,0,1,boat,,,1,1
boat,bottle1,bottle,0.00012004492,0.0023144137,0.0023144137,0,1,0,bottle,,,0,1
boat,cat3,bottle,4.2962136e-05,0.0016086465,0.0024775544,0,0,1,cat,,,0,1
boat,chair1,knife,5.196844e-05,0.0006622279,0.0041334974,0,0,1,chair,,,0,1
boat,clock3,knife,6.912108e-05,0.00055357796,0.0037447438,0,0,1,clock,,,0,1
boat,elephant3,knife,6.5030705e-05,8.2255436e-05,0.0032952477,0,0,1,elephant,,,0,1
boat,keyboard3,bottle,0.00018377244,0.00010890121,0.0041337204,0,0,1,boat,,,1,0
boat,oven3,bottle,0.0001160854,0.0007289399,0.0021438568,0,0,1,oven,,,0,1
boat,truck2,knife,0.00021867656,8.0622944e-05,0.0028749646,0,0,1,boat,,,1,0
boat,bird2,bottle,7.215697e-05,0.00034622676,0.00197404,0,0,1,bird,,,0,1
boat,bottle1,bottle,0.00012004492,0.0023144137,0.0023144137,0,1,0,bottle,,,0,1
boat,dog3,knife,7.2454764e-05,0.0017102105,0.00214428,0,0,1,dog,,,0,1
boat,elephant1,knife,0.00013351077,0.00021264375,0.0027327172,0,0,1,elephant,,,0,1
boat,knife1,bottle,9.39994e-05,0.0020301677,0.002636889,0,0,1,knife,,,0,1
boat,oven1,knife,5.67992e-05,0.00061834947,0.004843574,0,0,1,oven,,,0,1
boat,truck2,knife,0.00021867656,8.0622944e-05,0.0028749646,0,0,1,boat,,,1,0
boat,airplane2,knife,0.0001537168,2.9222569e-05,0.003491342,0,0,1,boat,,,1,0
boat,bear3,knife,0.00016153307,0.00013231518,0.0059225517,0,0,1,boat,,,1,0
boat,bird1,bottle,0.0001097415,0.00035527203,0.0024840052,0,0,1,bird,,,0,1
boat,boat3,knife,9.502111e-05,9.502111e-05,0.0057742484,0,0,1,boat,,,1,1
boat,cat3,bottle,4.2962136e-05,0.0016086465,0.0024775544,0,0,1,cat,,,0,1
boat,chair2,knife,4.734404e-05,0.0007149785,0.0046034846,0,0,1,chair,,,0,1
boat,clock1,knife,6.408537e-05,0.00064392714,0.0055995723,0,0,1,clock,,,0,1
boat,dog2,knife,0.00013474184,0.0014452077,0.0021419523,0,0,1,dog,,,0,1
boat,keyboard2,bottle,6.2439816e-05,0.00012217594,0.0032939934,0,0,1,keyboard,,,0,1
boat,knife2,knife,0.00014326457,0.0035274012,0.0035274012,0,1,0,knife,,,0,1
