Shape,Texture,Decision,Shape Category Value,Texture Category Value,Decision Category Value,Shape Decision,Texture Decision,Neither,Restricted Decision,Restriced Shape Value,Restricted Texture Value,Restricted Shape Decision,Restricted Texture Decision
chair,airplane2,knife,0.0031960104,0.00034717208,0.006719166,0,0,1,chair,,,1,0
chair,bear1,cat,1.9799638e-05,0.001975012,0.005359798,0,0,1,bear,,,0,1
chair,cat3,cat,2.3362974e-05,0.034417626,0.034417626,0,1,0,cat,,,0,1
chair,clock2,clock,0.0054841014,0.006578159,0.006578159,0,1,0,clock,,,0,1
chair,dog1,bird,0.00016141012,0.00014652585,0.0012002153,0,0,1,chair,,,1,0
chair,elephant1,elephant,0.00024226411,0.023586266,0.023586266,0,1,0,elephant,,,0,1
chair,oven3,oven,0.0012675659,0.0047188713,0.0047188713,0,1,0,oven,,,0,1
chair,truck3,bottle,0.000661425,0.00029203086,0.012270837,0,0,1,chair,,,1,0
chair,airplane2,knife,0.0031960104,0.00034717208,0.006719166,0,0,1,chair,,,1,0
chair,bicycle1,bird,0.000798529,0.0013843161,0.0020879866,0,0,1,bicycle,,,0,1
chair,bird3,chair,0.009323126,0.0011931035,0.009323126,1,0,0,chair,,,1,0
chair,bottle3,bird,0.00031350198,0.0016192998,0.007934037,0,0,1,bottle,,,0,1
chair,car2,bird,0.00073323055,6.8461406e-05,0.005433407,0,0,1,chair,,,1,0
chair,cat1,cat,0.00020759851,0.022053836,0.022053836,0,1,0,cat,,,0,1
chair,clock1,bottle,0.0015139477,0.00034212085,0.013644439,0,0,1,chair,,,1,0
chair,dog1,bird,0.00016141012,0.00014652585,0.0012002153,0,0,1,chair,,,1,0
chair,oven1,oven,0.0031116954,0.0035380882,0.0035380882,0,1,0,oven,,,0,1
chair,bear2,elephant,0.0023012036,2.5162062e-05,0.0024875272,0,0,1,chair,,,1,0
chair,boat1,bottle,0.00058524846,0.0009882421,0.006690011,0,0,1,boat,,,0,1
chair,keyboard2,bottle,0.00035600452,6.491981e-05,0.002006547,0,0,1,chair,,,1,0
chair,knife1,bicycle,0.0006252116,0.0044675083,0.049139675,0,0,1,knife,,,0,1
chair,airplane2,knife,0.0031960104,0.00034717208,0.006719166,0,0,1,chair,,,1,0
chair,bicycle3,bird,0.004628043,0.003420515,0.0047482713,0,0,1,chair,,,1,0
chair,bottle3,bird,0.00031350198,0.0016192998,0.007934037,0,0,1,bottle,,,0,1
chair,car3,bicycle,0.0019911136,0.0013789177,0.008842235,0,0,1,chair,,,1,0
chair,dog2,cat,1.09852135e-05,0.0028709925,0.022238282,0,0,1,dog,,,0,1
chair,knife1,bicycle,0.0006252116,0.0044675083,0.049139675,0,0,1,knife,,,0,1
chair,bear2,elephant,0.0023012036,2.5162062e-05,0.0024875272,0,0,1,chair,,,1,0
chair,cat2,cat,0.00038825267,0.009484847,0.009484847,0,1,0,cat,,,0,1
chair,keyboard2,bottle,0.00035600452,6.491981e-05,0.002006547,0,0,1,chair,,,1,0
chair,oven2,chair,0.005563327,0.00082319824,0.005563327,1,0,0,chair,,,1,0
chair,truck2,truck,0.0007043309,0.0122217145,0.0122217145,0,1,0,truck,,,0,1
chair,bicycle1,bird,0.000798529,0.0013843161,0.0020879866,0,0,1,bicycle,,,0,1
chair,bird1,cat,0.0002272611,0.0006184126,0.008808284,0,0,1,bird,,,0,1
chair,boat3,bottle,0.003978561,0.0005593861,0.009682129,0,0,1,chair,,,1,0
chair,bottle3,bird,0.00031350198,0.0016192998,0.007934037,0,0,1,bottle,,,0,1
chair,car1,bird,3.168628e-05,6.890739e-06,0.008916681,0,0,1,chair,,,1,0
chair,cat3,cat,2.3362974e-05,0.034417626,0.034417626,0,1,0,cat,,,0,1
chair,clock2,clock,0.0054841014,0.006578159,0.006578159,0,1,0,clock,,,0,1
chair,keyboard2,bottle,0.00035600452,6.491981e-05,0.002006547,0,0,1,chair,,,1,0
chair,knife3,knife,0.0004980334,0.0028081257,0.0028081257,0,1,0,knife,,,0,1
chair,oven2,chair,0.005563327,0.00082319824,0.005563327,1,0,0,chair,,,1,0
chair,truck3,bottle,0.000661425,0.00029203086,0.012270837,0,0,1,chair,,,1,0
chair,bird2,bird,0.00058577314,0.002932339,0.002932339,0,1,0,bird,,,0,1
chair,dog1,bird,0.00016141012,0.00014652585,0.0012002153,0,0,1,chair,,,1,0
chair,elephant2,elephant,6.2757326e-06,0.005612841,0.005612841,0,1,0,elephant,,,0,1
chair,truck2,truck,0.0007043309,0.0122217145,0.0122217145,0,1,0,truck,,,0,1
chair,airplane1,bicycle,0.00037298808,0.0004433679,0.0060542887,0,0,1,airplane,,,0,1
chair,bird1,cat,0.0002272611,0.0006184126,0.008808284,0,0,1,bird,,,0,1
chair,boat3,bottle,0.003978561,0.0005593861,0.009682129,0,0,1,chair,,,1,0
chair,bottle1,chair,0.0020839989,0.0006232161,0.0020839989,1,0,0,chair,,,1,0
chair,car2,bird,0.00073323055,6.8461406e-05,0.005433407,0,0,1,chair,,,1,0
chair,cat1,cat,0.00020759851,0.022053836,0.022053836,0,1,0,cat,,,0,1
chair,clock3,bottle,0.00012447756,0.0010604678,0.015068425,0,0,1,clock,,,0,1
chair,elephant1,elephant,0.00024226411,0.023586266,0.023586266,0,1,0,elephant,,,0,1
chair,knife2,bottle,7.631955e-05,0.0005359529,0.019075915,0,0,1,knife,,,0,1
chair,truck3,bottle,0.000661425,0.00029203086,0.012270837,0,0,1,chair,,,1,0
chair,airplane1,bicycle,0.00037298808,0.0004433679,0.0060542887,0,0,1,airplane,,,0,1
chair,bear1,cat,1.9799638e-05,0.001975012,0.005359798,0,0,1,bear,,,0,1
chair,bicycle3,bird,0.004628043,0.003420515,0.0047482713,0,0,1,chair,,,1,0
chair,boat1,bottle,0.00058524846,0.0009882421,0.006690011,0,0,1,boat,,,0,1
chair,car1,bird,3.168628e-05,6.890739e-06,0.008916681,0,0,1,chair,,,1,0
chair,clock3,bottle,0.00012447756,0.0010604678,0.015068425,0,0,1,clock,,,0,1
chair,elephant1,elephant,0.00024226411,0.023586266,0.023586266,0,1,0,elephant,,,0,1
chair,keyboard3,car,7.6814795e-05,0.00058213394,0.0052694683,0,0,1,keyboard,,,0,1
chair,knife2,bottle,7.631955e-05,0.0005359529,0.019075915,0,0,1,knife,,,0,1
chair,oven1,oven,0.0031116954,0.0035380882,0.0035380882,0,1,0,oven,,,0,1
chair,bear1,cat,1.9799638e-05,0.001975012,0.005359798,0,0,1,bear,,,0,1
chair,bicycle3,bird,0.004628043,0.003420515,0.0047482713,0,0,1,chair,,,1,0
chair,bird3,chair,0.009323126,0.0011931035,0.009323126,1,0,0,chair,,,1,0
chair,boat2,bird,0.001021225,0.0010698964,0.0051447595,0,0,1,boat,,,0,1
chair,bottle3,bird,0.00031350198,0.0016192998,0.007934037,0,0,1,bottle,,,0,1
chair,dog2,cat,1.09852135e-05,0.0028709925,0.022238282,0,0,1,dog,,,0,1
chair,elephant1,elephant,0.00024226411,0.023586266,0.023586266,0,1,0,elephant,,,0,1
chair,keyboard2,bottle,0.00035600452,6.491981e-05,0.002006547,0,0,1,chair,,,1,0
