Shape,Texture,Decision,Shape Category Value,Texture Category Value,Decision Category Value,Shape Decision,Texture Decision,Neither,Restricted Decision,Restriced Shape Value,Restricted Texture Value,Restricted Shape Decision,Restricted Texture Decision
clock,bear1,elephant,5.9481026e-06,0.008487072,0.0404027,0,0,1,bear,,,0,1
clock,boat3,bottle,0.0050627417,0.00012623577,0.011851634,0,0,1,clock,,,1,0
clock,car1,clock,0.002299985,7.5810356e-05,0.002299985,1,0,0,clock,,,1,0
clock,dog2,clock,0.0020953862,0.00015193751,0.0020953862,1,0,0,clock,,,1,0
clock,elephant2,elephant,4.7321922e-05,0.04937905,0.04937905,0,1,0,elephant,,,0,1
clock,truck3,bottle,0.0018685595,0.002507477,0.012556241,0,0,1,truck,,,0,1
clock,airplane1,clock,0.004099485,4.5732606e-05,0.004099485,1,0,0,clock,,,1,0
clock,bird3,car,0.00091454503,2.794197e-05,0.0041696094,0,0,1,clock,,,1,0
clock,boat2,bottle,0.00040382927,0.0009584816,0.0050394824,0,0,1,boat,,,0,1
clock,bottle1,clock,0.0005409164,0.00023545818,0.0005409164,1,0,0,clock,,,1,0
clock,cat1,cat,0.00022712622,0.006317495,0.006317495,0,1,0,cat,,,0,1
clock,dog3,dog,2.957465e-07,0.006379461,0.006379461,0,1,0,dog,,,0,1
clock,knife3,bottle,6.592616e-05,0.0025211812,0.0028816687,0,0,1,knife,,,0,1
clock,oven2,bottle,5.3927342e-05,0.002389537,0.007398977,0,0,1,oven,,,0,1
clock,truck2,truck,0.00020538895,0.0055649923,0.0055649923,0,1,0,truck,,,0,1
clock,bear2,cat,0.00010834124,0.0001176999,0.009239093,0,0,1,bear,,,0,1
clock,bicycle1,clock,0.00062784477,5.495454e-06,0.00062784477,1,0,0,clock,,,1,0
clock,bottle3,clock,0.0019811757,0.00044248346,0.0019811757,1,0,0,clock,,,1,0
clock,dog1,clock,0.0012683043,4.0268427e-05,0.0012683043,1,0,0,clock,,,1,0
clock,elephant2,elephant,4.7321922e-05,0.04937905,0.04937905,0,1,0,elephant,,,0,1
clock,knife1,bottle,0.0033044927,0.00077269005,0.007894073,0,0,1,clock,,,1,0
clock,bear3,elephant,0.0004163245,0.0001523543,0.006492744,0,0,1,clock,,,1,0
clock,bicycle2,clock,6.06202e-06,1.5361445e-07,6.06202e-06,1,0,0,clock,,,1,0
clock,bird1,clock,0.009059767,4.3522872e-05,0.009059767,1,0,0,clock,,,1,0
clock,car2,bird,4.018279e-05,0.0011766539,0.0065905214,0,0,1,car,,,0,1
clock,cat1,cat,0.00022712622,0.006317495,0.006317495,0,1,0,cat,,,0,1
clock,dog2,clock,0.0020953862,0.00015193751,0.0020953862,1,0,0,clock,,,1,0
clock,elephant3,elephant,4.3116113e-05,0.00014713264,0.00014713264,0,1,0,elephant,,,0,1
clock,keyboard3,bottle,0.0035196643,2.875248e-05,0.0096022505,0,0,1,clock,,,1,0
clock,airplane1,clock,0.004099485,4.5732606e-05,0.004099485,1,0,0,clock,,,1,0
clock,bird3,car,0.00091454503,2.794197e-05,0.0041696094,0,0,1,clock,,,1,0
clock,boat3,bottle,0.0050627417,0.00012623577,0.011851634,0,0,1,clock,,,1,0
