Shape,Texture,Decision,Shape Category Value,Texture Category Value,Decision Category Value,Shape Decision,Texture Decision,Neither,Restricted Decision,Restriced Shape Value,Restricted Texture Value,Restricted Shape Decision,Restricted Texture Decision
dog,airplane3,knife,0.0019828365,5.130238e-06,0.0021074736,0,0,1,dog,,,1,0
dog,bear1,knife,0.0018080788,0.00010197124,0.0026780458,0,0,1,dog,,,1,0
dog,bird1,knife,0.0013857414,0.00033434527,0.0028476457,0,0,1,dog,,,1,0
dog,boat3,bottle,0.0020323026,6.259592e-05,0.002510477,0,0,1,dog,,,1,0
dog,car2,knife,0.0020353522,3.8791615e-05,0.0028451711,0,0,1,dog,,,1,0
dog,cat3,knife,0.001671199,0.001218545,0.002633866,0,0,1,dog,,,1,0
dog,chair1,bottle,0.0008902652,0.000561515,0.0031898147,0,0,1,dog,,,1,0
dog,dog2,knife,0.0015858113,0.0015858113,0.002745425,0,0,1,dog,,,1,1
dog,knife3,knife,0.0014145809,0.003189592,0.003189592,0,1,0,knife,,,0,1
dog,airplane1,knife,0.0012754443,1.6561056e-05,0.0026439596,0,0,1,dog,,,1,0
dog,bicycle1,knife,0.0021073844,0.00030721945,0.002290374,0,0,1,dog,,,1,0
dog,bottle1,knife,0.0012893098,0.0019326629,0.007479569,0,0,1,bottle,,,0,1
dog,car3,knife,0.0015437433,4.398098e-05,0.0021310048,0,0,1,dog,,,1,0
dog,clock1,knife,0.0019776782,0.00039572138,0.002077953,0,0,1,dog,,,1,0
dog,dog1,knife,0.0011973018,0.0011973018,0.0025482753,0,0,1,dog,,,1,1
dog,elephant1,knife,0.0016264166,0.00033412286,0.0031867735,0,0,1,dog,,,1,0
dog,keyboard2,dog,0.0019053187,6.988074e-05,0.0019053187,1,0,0,dog,,,1,0
dog,oven2,bottle,0.0012505251,0.00088113797,0.003423561,0,0,1,dog,,,1,0
dog,truck2,dog,0.0022819338,5.8983227e-05,0.0022819338,1,0,0,dog,,,1,0
dog,airplane2,knife,0.0017321941,3.0016527e-05,0.0036786525,0,0,1,dog,,,1,0
dog,bicycle2,knife,0.0016439639,0.00034143002,0.0019938105,0,0,1,dog,,,1,0
dog,bottle2,knife,0.0019293634,0.0018944369,0.002630948,0,0,1,dog,,,1,0
dog,cat1,bottle,0.0012894646,0.0010937835,0.002823421,0,0,1,dog,,,1,0
dog,dog3,bottle,0.001742882,0.001742882,0.0022886223,0,0,1,dog,,,1,1
dog,knife3,knife,0.0014145809,0.003189592,0.003189592,0,1,0,knife,,,0,1
dog,bear3,bottle,0.0014537935,8.808437e-05,0.0035549311,0,0,1,dog,,,1,0
dog,bird2,knife,0.0017458106,0.00016183773,0.0025394354,0,0,1,dog,,,1,0
dog,boat1,bottle,0.0014645269,6.717611e-05,0.0027197467,0,0,1,dog,,,1,0
dog,clock1,knife,0.0019776782,0.00039572138,0.002077953,0,0,1,dog,,,1,0
dog,dog1,knife,0.0011973018,0.0011973018,0.0025482753,0,0,1,dog,,,1,1
dog,elephant2,knife,0.0018732221,0.0004812866,0.0023416253,0,0,1,dog,,,1,0
dog,keyboard1,knife,0.0014172933,0.000109734756,0.0026329271,0,0,1,dog,,,1,0
dog,knife3,knife,0.0014145809,0.003189592,0.003189592,0,1,0,knife,,,0,1
dog,truck2,dog,0.0022819338,5.8983227e-05,0.0022819338,1,0,0,dog,,,1,0
dog,airplane3,knife,0.0019828365,5.130238e-06,0.0021074736,0,0,1,dog,,,1,0
dog,bicycle1,knife,0.0021073844,0.00030721945,0.002290374,0,0,1,dog,,,1,0
dog,bird1,knife,0.0013857414,0.00033434527,0.0028476457,0,0,1,dog,,,1,0
dog,bottle2,knife,0.0019293634,0.0018944369,0.002630948,0,0,1,dog,,,1,0
dog,cat3,knife,0.001671199,0.001218545,0.002633866,0,0,1,dog,,,1,0
dog,chair1,bottle,0.0008902652,0.000561515,0.0031898147,0,0,1,dog,,,1,0
dog,clock1,knife,0.0019776782,0.00039572138,0.002077953,0,0,1,dog,,,1,0
dog,elephant2,knife,0.0018732221,0.0004812866,0.0023416253,0,0,1,dog,,,1,0
dog,keyboard2,dog,0.0019053187,6.988074e-05,0.0019053187,1,0,0,dog,,,1,0
dog,oven1,bottle,0.0015366455,0.00043574246,0.0019534703,0,0,1,dog,,,1,0
dog,truck2,dog,0.0022819338,5.8983227e-05,0.0022819338,1,0,0,dog,,,1,0
dog,bear3,bottle,0.0014537935,8.808437e-05,0.0035549311,0,0,1,dog,,,1,0
dog,boat3,bottle,0.0020323026,6.259592e-05,0.002510477,0,0,1,dog,,,1,0
dog,car3,knife,0.0015437433,4.398098e-05,0.0021310048,0,0,1,dog,,,1,0
dog,elephant1,knife,0.0016264166,0.00033412286,0.0031867735,0,0,1,dog,,,1,0
dog,knife2,bottle,0.0015905858,0.0025715083,0.0026349586,0,0,1,knife,,,0,1
dog,oven1,bottle,0.0015366455,0.00043574246,0.0019534703,0,0,1,dog,,,1,0
dog,truck2,dog,0.0022819338,5.8983227e-05,0.0022819338,1,0,0,dog,,,1,0
dog,bicycle1,knife,0.0021073844,0.00030721945,0.002290374,0,0,1,dog,,,1,0
dog,bird1,knife,0.0013857414,0.00033434527,0.0028476457,0,0,1,dog,,,1,0
dog,cat1,bottle,0.0012894646,0.0010937835,0.002823421,0,0,1,dog,,,1,0
dog,clock1,knife,0.0019776782,0.00039572138,0.002077953,0,0,1,dog,,,1,0
dog,elephant2,knife,0.0018732221,0.0004812866,0.0023416253,0,0,1,dog,,,1,0
dog,truck2,dog,0.0022819338,5.8983227e-05,0.0022819338,1,0,0,dog,,,1,0
dog,bird3,knife,0.0018006688,0.00030901126,0.0022822097,0,0,1,dog,,,1,0
dog,car2,knife,0.0020353522,3.8791615e-05,0.0028451711,0,0,1,dog,,,1,0
dog,chair2,bottle,0.0016094045,0.0004984591,0.002921535,0,0,1,dog,,,1,0
dog,keyboard3,knife,0.0017097326,0.00017706242,0.002962698,0,0,1,dog,,,1,0
dog,knife3,knife,0.0014145809,0.003189592,0.003189592,0,1,0,knife,,,0,1
