Shape,Texture,Decision,Shape Category Value,Texture Category Value,Decision Category Value,Shape Decision,Texture Decision,Neither,Restricted Decision,Restriced Shape Value,Restricted Texture Value,Restricted Shape Decision,Restricted Texture Decision
elephant,airplane2,knife,0.00063369557,3.0388963e-05,0.008774532,0,0,1,elephant,,,1,0
elephant,bear2,knife,0.00072516483,0.00020063703,0.0020531046,0,0,1,elephant,,,1,0
elephant,boat2,dog,0.00026048408,5.9673424e-05,0.0021041126,0,0,1,elephant,,,1,0
elephant,bottle1,knife,0.0008161963,0.002565002,0.0029322659,0,0,1,bottle,,,0,1
elephant,car3,knife,0.00035854572,4.0343333e-05,0.0018876725,0,0,1,elephant,,,1,0
elephant,chair1,knife,0.00012666715,0.00080816436,0.0040364233,0,0,1,chair,,,0,1
elephant,dog2,knife,0.00042583942,0.0015312008,0.0053594946,0,0,1,dog,,,0,1
elephant,keyboard3,knife,0.00024633756,0.00015559272,0.0024646032,0,0,1,elephant,,,1,0
elephant,oven2,knife,0.0006003859,0.0008285037,0.0034159569,0,0,1,oven,,,0,1
elephant,bear1,bottle,0.00018207688,8.834004e-05,0.0023858254,0,0,1,elephant,,,1,0
elephant,elephant1,knife,0.0002882713,0.0002882713,0.0027732537,0,0,1,elephant,,,1,1
elephant,keyboard1,bottle,7.8881334e-05,0.00023584027,0.0033934938,0,0,1,keyboard,,,0,1
elephant,knife3,bottle,0.00015453048,0.0009953361,0.002548203,0,0,1,knife,,,0,1
elephant,airplane3,knife,0.00040447054,1.2902481e-05,0.00253007,0,0,1,elephant,,,1,0
elephant,bear3,knife,0.00017783593,0.00012643341,0.0025540732,0,0,1,elephant,,,1,0
elephant,bird1,knife,0.00018325164,0.00025919214,0.0030480134,0,0,1,bird,,,0,1
elephant,boat1,knife,0.00018165828,0.00011293612,0.0029808725,0,0,1,elephant,,,1,0
elephant,bottle3,cat,0.00020140874,0.001745453,0.002443861,0,0,1,bottle,,,0,1
elephant,cat1,knife,0.00034357797,0.0011721135,0.004116405,0,0,1,cat,,,0,1
elephant,clock1,knife,0.00036978192,0.0005239887,0.00534685,0,0,1,clock,,,0,1
elephant,elephant3,knife,0.00023014528,0.00023014528,0.0037329732,0,0,1,elephant,,,1,1
elephant,keyboard3,knife,0.00024633756,0.00015559272,0.0024646032,0,0,1,elephant,,,1,0
elephant,truck2,knife,0.00017795351,5.6832083e-05,0.0030542382,0,0,1,elephant,,,1,0
elephant,cat2,knife,0.0003488781,0.00084921153,0.004132098,0,0,1,cat,,,0,1
elephant,chair1,knife,0.00012666715,0.00080816436,0.0040364233,0,0,1,chair,,,0,1
elephant,keyboard2,knife,0.0002474475,0.00064628397,0.0042297686,0,0,1,keyboard,,,0,1
elephant,knife1,knife,0.00066626334,0.0021646922,0.0021646922,0,1,0,knife,,,0,1
elephant,oven1,oven,0.00031578806,0.0021256518,0.0021256518,0,1,0,oven,,,0,1
elephant,truck1,cat,0.000374605,4.1536136e-05,0.002242198,0,0,1,elephant,,,1,0
elephant,bicycle2,knife,0.0001450805,0.00012736823,0.0042452333,0,0,1,elephant,,,1,0
elephant,bird1,knife,0.00018325164,0.00025919214,0.0030480134,0,0,1,bird,,,0,1
elephant,boat3,knife,0.00012612114,9.219199e-05,0.004189579,0,0,1,elephant,,,1,0
elephant,car3,knife,0.00035854572,4.0343333e-05,0.0018876725,0,0,1,elephant,,,1,0
elephant,chair3,bottle,0.0003260143,0.0006197127,0.0022481068,0,0,1,chair,,,0,1
elephant,clock3,knife,0.0006617826,0.00066225417,0.0029098834,0,0,1,clock,,,0,1
elephant,oven1,oven,0.00031578806,0.0021256518,0.0021256518,0,1,0,oven,,,0,1
elephant,bear2,knife,0.00072516483,0.00020063703,0.0020531046,0,0,1,elephant,,,1,0
elephant,bicycle3,knife,0.00018944552,0.00026157714,0.0037737295,0,0,1,bicycle,,,0,1
elephant,bottle2,knife,0.00016203674,0.0025447905,0.0034811657,0,0,1,bottle,,,0,1
elephant,car1,knife,0.00055383256,2.74243e-05,0.002221265,0,0,1,elephant,,,1,0
elephant,chair3,bottle,0.0003260143,0.0006197127,0.0022481068,0,0,1,chair,,,0,1
elephant,elephant1,knife,0.0002882713,0.0002882713,0.0027732537,0,0,1,elephant,,,1,1
elephant,truck1,cat,0.000374605,4.1536136e-05,0.002242198,0,0,1,elephant,,,1,0
elephant,bicycle1,knife,0.0005553638,0.00032817465,0.0047692535,0,0,1,elephant,,,1,0
elephant,bird1,knife,0.00018325164,0.00025919214,0.0030480134,0,0,1,bird,,,0,1
elephant,bottle2,knife,0.00016203674,0.0025447905,0.0034811657,0,0,1,bottle,,,0,1
elephant,car3,knife,0.00035854572,4.0343333e-05,0.0018876725,0,0,1,elephant,,,1,0
elephant,cat2,knife,0.0003488781,0.00084921153,0.004132098,0,0,1,cat,,,0,1
elephant,dog2,knife,0.00042583942,0.0015312008,0.0053594946,0,0,1,dog,,,0,1
elephant,knife2,knife,0.00017625338,0.006418777,0.006418777,0,1,0,knife,,,0,1
elephant,oven1,oven,0.00031578806,0.0021256518,0.0021256518,0,1,0,oven,,,0,1
elephant,truck3,knife,0.00049696316,4.873966e-05,0.0033444983,0,0,1,elephant,,,1,0
elephant,airplane3,knife,0.00040447054,1.2902481e-05,0.00253007,0,0,1,elephant,,,1,0
elephant,bear3,knife,0.00017783593,0.00012643341,0.0025540732,0,0,1,elephant,,,1,0
elephant,bird1,knife,0.00018325164,0.00025919214,0.0030480134,0,0,1,bird,,,0,1
elephant,bottle3,cat,0.00020140874,0.001745453,0.002443861,0,0,1,bottle,,,0,1
elephant,car3,knife,0.00035854572,4.0343333e-05,0.0018876725,0,0,1,elephant,,,1,0
elephant,cat1,knife,0.00034357797,0.0011721135,0.004116405,0,0,1,cat,,,0,1
elephant,clock2,knife,0.00034131584,0.0005080676,0.0032152338,0,0,1,clock,,,0,1
elephant,dog1,knife,0.0005336548,0.002226932,0.0037812493,0,0,1,dog,,,0,1
