Shape,Texture,Decision,Shape Category Value,Texture Category Value,Decision Category Value,Shape Decision,Texture Decision,Neither,Restricted Decision,Restriced Shape Value,Restricted Texture Value,Restricted Shape Decision,Restricted Texture Decision
keyboard,airplane2,bottle,0.00012498659,4.0215164e-06,0.0021011892,0,0,1,keyboard,,,1,0
keyboard,bear2,bottle,0.00050248305,7.010198e-05,0.0029316186,0,0,1,keyboard,,,1,0
keyboard,bird2,knife,0.00011902576,0.000420554,0.0035906106,0,0,1,bird,,,0,1
keyboard,car3,bottle,0.00022692463,6.243564e-05,0.00224948,0,0,1,keyboard,,,1,0
keyboard,chair2,bottle,0.00017986255,0.00052254304,0.003044973,0,0,1,chair,,,0,1
keyboard,clock1,knife,0.00023745256,0.0008355014,0.002641106,0,0,1,clock,,,0,1
keyboard,dog3,knife,0.000114628245,0.0017584306,0.0021039047,0,0,1,dog,,,0,1
keyboard,elephant3,knife,9.8435296e-05,0.00015730987,0.0022513117,0,0,1,elephant,,,0,1
keyboard,airplane3,bottle,0.00014999704,7.7107325e-06,0.0028238161,0,0,1,keyboard,,,1,0
keyboard,boat2,bottle,0.00024308496,0.00016708924,0.002661522,0,0,1,keyboard,,,1,0
keyboard,car1,bottle,0.00016432125,2.4030522e-05,0.0034586866,0,0,1,keyboard,,,1,0
keyboard,keyboard1,knife,0.00022026725,0.00022026725,0.0034752078,0,0,1,keyboard,,,1,1
keyboard,oven3,knife,8.559637e-05,0.00072589144,0.0026735868,0,0,1,oven,,,0,1
keyboard,truck1,bottle,0.00020755189,4.581938e-05,0.0033116897,0,0,1,keyboard,,,1,0
keyboard,bicycle3,bottle,0.0002353894,0.00017128432,0.0029598027,0,0,1,keyboard,,,1,0
keyboard,bottle1,knife,0.00014713513,0.0021248248,0.002912524,0,0,1,bottle,,,0,1
keyboard,clock1,knife,0.00023745256,0.0008355014,0.002641106,0,0,1,clock,,,0,1
keyboard,elephant1,knife,0.00023557001,0.0002964319,0.0036922647,0,0,1,elephant,,,0,1
keyboard,knife1,bottle,0.00014755083,0.0014541615,0.0019543814,0,0,1,knife,,,0,1
keyboard,bicycle2,knife,0.0003785828,0.00022917942,0.0037359758,0,0,1,keyboard,,,1,0
keyboard,bird3,bottle,0.00027156548,0.00040265603,0.002813256,0,0,1,bird,,,0,1
keyboard,boat1,bottle,0.00012846579,0.000107872904,0.0042056176,0,0,1,keyboard,,,1,0
keyboard,car2,bottle,0.00017038718,5.2002684e-05,0.0035223872,0,0,1,keyboard,,,1,0
keyboard,cat1,cat,0.00022270622,0.0025158112,0.0025158112,0,1,0,cat,,,0,1
keyboard,clock3,cat,0.00013378129,0.00042705788,0.0020570986,0,0,1,clock,,,0,1
keyboard,elephant2,knife,0.0001056466,0.000151913,0.0073096,0,0,1,elephant,,,0,1
keyboard,bird1,bottle,0.00022146867,0.0003767951,0.0024371366,0,0,1,bird,,,0,1
keyboard,bottle2,bottle,0.00025745592,0.0027684432,0.0027684432,0,1,0,bottle,,,0,1
keyboard,cat2,knife,0.00028037096,0.0011232294,0.002434715,0,0,1,cat,,,0,1
keyboard,clock2,bottle,0.00024842581,0.00065661967,0.0029363895,0,0,1,clock,,,0,1
keyboard,keyboard2,knife,0.00011826593,0.00011826593,0.0023190929,0,0,1,keyboard,,,1,1
keyboard,knife2,bottle,0.00014626075,0.0020522159,0.0029578696,0,0,1,knife,,,0,1
keyboard,oven2,bottle,0.00015649272,0.0006518639,0.001967791,0,0,1,oven,,,0,1
keyboard,truck3,knife,0.00032069252,0.00019031332,0.0031154288,0,0,1,keyboard,,,1,0
keyboard,airplane3,bottle,0.00014999704,7.7107325e-06,0.0028238161,0,0,1,keyboard,,,1,0
keyboard,bear3,bottle,0.0005614917,0.00011011341,0.0025130936,0,0,1,keyboard,,,1,0
keyboard,bicycle1,bottle,0.00019747979,0.00012768926,0.0033795608,0,0,1,keyboard,,,1,0
keyboard,bird3,bottle,0.00027156548,0.00040265603,0.002813256,0,0,1,bird,,,0,1
keyboard,bottle1,knife,0.00014713513,0.0021248248,0.002912524,0,0,1,bottle,,,0,1
keyboard,cat1,cat,0.00022270622,0.0025158112,0.0025158112,0,1,0,cat,,,0,1
keyboard,dog3,knife,0.000114628245,0.0017584306,0.0021039047,0,0,1,dog,,,0,1
keyboard,keyboard1,knife,0.00022026725,0.00022026725,0.0034752078,0,0,1,keyboard,,,1,1
keyboard,knife2,bottle,0.00014626075,0.0020522159,0.0029578696,0,0,1,knife,,,0,1
keyboard,oven2,bottle,0.00015649272,0.0006518639,0.001967791,0,0,1,oven,,,0,1
keyboard,bear2,bottle,0.00050248305,7.010198e-05,0.0029316186,0,0,1,keyboard,,,1,0
keyboard,bicycle1,bottle,0.00019747979,0.00012768926,0.0033795608,0,0,1,keyboard,,,1,0
keyboard,boat2,bottle,0.00024308496,0.00016708924,0.002661522,0,0,1,keyboard,,,1,0
keyboard,bottle2,bottle,0.00025745592,0.0027684432,0.0027684432,0,1,0,bottle,,,0,1
keyboard,car2,bottle,0.00017038718,5.2002684e-05,0.0035223872,0,0,1,keyboard,,,1,0
keyboard,chair1,knife,0.00012384981,0.0006536277,0.0038662876,0,0,1,chair,,,0,1
keyboard,dog2,knife,0.0001438053,0.0015533885,0.0043699876,0,0,1,dog,,,0,1
keyboard,elephant1,knife,0.00023557001,0.0002964319,0.0036922647,0,0,1,elephant,,,0,1
keyboard,knife2,bottle,0.00014626075,0.0020522159,0.0029578696,0,0,1,knife,,,0,1
keyboard,bear2,bottle,0.00050248305,7.010198e-05,0.0029316186,0,0,1,keyboard,,,1,0
keyboard,boat2,bottle,0.00024308496,0.00016708924,0.002661522,0,0,1,keyboard,,,1,0
keyboard,bottle1,knife,0.00014713513,0.0021248248,0.002912524,0,0,1,bottle,,,0,1
keyboard,car3,bottle,0.00022692463,6.243564e-05,0.00224948,0,0,1,keyboard,,,1,0
