Shape,Texture,Decision,Shape Category Value,Texture Category Value,Decision Category Value,Shape Decision,Texture Decision,Neither,Restricted Decision,Restriced Shape Value,Restricted Texture Value,Restricted Shape Decision,Restricted Texture Decision
oven,bird3,oven,0.019510558,0.00027849377,0.019510558,1,0,0,oven,,,1,0
oven,boat3,oven,0.05996871,0.00042203808,0.05996871,1,0,0,oven,,,1,0
oven,cat1,bear,0.0010825444,0.005563466,0.010569984,0,0,1,cat,,,0,1
oven,clock3,oven,0.002698745,0.0018036844,0.002698745,1,0,0,oven,,,1,0
oven,dog3,cat,5.6688117e-05,0.0054430147,0.0063060485,0,0,1,dog,,,0,1
oven,airplane2,oven,0.017098222,0.008014376,0.017098222,1,0,0,oven,,,1,0
oven,bear1,cat,6.238427e-05,0.0051983697,0.0053333617,0,0,1,bear,,,0,1
oven,bicycle1,bird,0.0001922905,0.0040683444,0.005099252,0,0,1,bicycle,,,0,1
oven,boat2,oven,0.020330466,0.00070092885,0.020330466,1,0,0,oven,,,1,0
oven,cat2,bear,0.00011785135,0.0020659645,0.006967021,0,0,1,cat,,,0,1
oven,truck2,truck,0.01226023,0.018631792,0.018631792,0,1,0,truck,,,0,1
oven,bear3,chair,0.00010479862,0.0001936479,0.0020063329,0,0,1,bear,,,0,1
oven,bicycle1,bird,0.0001922905,0.0040683444,0.005099252,0,0,1,bicycle,,,0,1
oven,bird2,oven,0.008028292,0.00019992267,0.008028292,1,0,0,oven,,,1,0
oven,boat3,oven,0.05996871,0.00042203808,0.05996871,1,0,0,oven,,,1,0
oven,bottle1,chair,0.0008474282,0.00040596374,0.00205934,0,0,1,oven,,,1,0
oven,car1,boat,0.0050662835,0.0013250491,0.00509123,0,0,1,oven,,,1,0
oven,chair1,bicycle,0.0021449162,0.0005641335,0.0051868483,0,0,1,oven,,,1,0
oven,dog3,cat,5.6688117e-05,0.0054430147,0.0063060485,0,0,1,dog,,,0,1
oven,truck3,oven,0.0061065094,0.003008053,0.0061065094,1,0,0,oven,,,1,0
oven,airplane1,clock,0.005431429,0.00012306293,0.008381919,0,0,1,oven,,,1,0
oven,bear2,elephant,0.0002007473,0.008886835,0.06451044,0,0,1,bear,,,0,1
oven,boat3,oven,0.05996871,0.00042203808,0.05996871,1,0,0,oven,,,1,0
oven,bottle3,bicycle,0.0006120885,0.0017276519,0.004988732,0,0,1,bottle,,,0,1
oven,car2,car,0.0053708293,0.010202853,0.010202853,0,1,0,car,,,0,1
oven,cat2,bear,0.00011785135,0.0020659645,0.006967021,0,0,1,cat,,,0,1
oven,clock3,oven,0.002698745,0.0018036844,0.002698745,1,0,0,oven,,,1,0
oven,elephant3,elephant,1.1572143e-06,0.0010554611,0.0010554611,0,1,0,elephant,,,0,1
oven,knife1,oven,0.01688087,0.0003896898,0.01688087,1,0,0,oven,,,1,0
oven,truck1,oven,0.082930446,0.00038088096,0.082930446,1,0,0,oven,,,1,0
oven,bicycle2,bicycle,0.0015609219,0.006559491,0.006559491,0,1,0,bicycle,,,0,1
oven,bottle2,truck,0.004936616,0.0040264605,0.0054970523,0,0,1,oven,,,1,0
oven,car1,boat,0.0050662835,0.0013250491,0.00509123,0,0,1,oven,,,1,0
oven,chair1,bicycle,0.0021449162,0.0005641335,0.0051868483,0,0,1,oven,,,1,0
oven,clock2,oven,0.07502943,0.0010197285,0.07502943,1,0,0,oven,,,1,0
oven,dog1,cat,5.1125055e-05,0.0015171836,0.0052332673,0,0,1,dog,,,0,1
oven,elephant3,elephant,1.1572143e-06,0.0010554611,0.0010554611,0,1,0,elephant,,,0,1
oven,keyboard3,car,0.00030343188,0.00012893733,0.074400805,0,0,1,oven,,,1,0
oven,knife2,truck,0.011579662,0.00036784608,0.018403187,0,0,1,oven,,,1,0
oven,truck3,oven,0.0061065094,0.003008053,0.0061065094,1,0,0,oven,,,1,0
oven,airplane1,clock,0.005431429,0.00012306293,0.008381919,0,0,1,oven,,,1,0
oven,bicycle1,bird,0.0001922905,0.0040683444,0.005099252,0,0,1,bicycle,,,0,1
oven,bird1,bottle,0.0063112467,0.00039026423,0.0069558383,0,0,1,oven,,,1,0
oven,bottle3,bicycle,0.0006120885,0.0017276519,0.004988732,0,0,1,bottle,,,0,1
oven,dog3,cat,5.6688117e-05,0.0054430147,0.0063060485,0,0,1,dog,,,0,1
oven,elephant1,elephant,1.8467954e-05,0.037085414,0.037085414,0,1,0,elephant,,,0,1
oven,keyboard2,car,5.9214804e-06,0.00048759315,0.018230842,0,0,1,keyboard,,,0,1
oven,airplane3,oven,0.26314646,0.00022004591,0.26314646,1,0,0,oven,,,1,0
oven,bear2,elephant,0.0002007473,0.008886835,0.06451044,0,0,1,bear,,,0,1
oven,bicycle1,bird,0.0001922905,0.0040683444,0.005099252,0,0,1,bicycle,,,0,1
oven,bird1,bottle,0.0063112467,0.00039026423,0.0069558383,0,0,1,oven,,,1,0
oven,chair3,bird,0.0008165137,0.0013392102,0.0033034144,0,0,1,chair,,,0,1
oven,elephant2,elephant,6.552666e-06,0.052630123,0.052630123,0,1,0,elephant,,,0,1
oven,knife3,bottle,0.0039509856,0.004363581,0.0048195426,0,0,1,knife,,,0,1
oven,truck1,oven,0.082930446,0.00038088096,0.082930446,1,0,0,oven,,,1,0
oven,bottle1,chair,0.0008474282,0.00040596374,0.00205934,0,0,1,oven,,,1,0
oven,car3,oven,0.045723885,6.3716936e-05,0.045723885,1,0,0,oven,,,1,0
oven,cat1,bear,0.0010825444,0.005563466,0.010569984,0,0,1,cat,,,0,1
oven,clock2,oven,0.07502943,0.0010197285,0.07502943,1,0,0,oven,,,1,0
