Anchor,Shape Match,Texture Match,Shape Dot,Shape Cos,Texture Dot,Texture Cos,Shape Dot Closer,Shape Cos Closer,Texture Dot Closer,Texture Cos Closer
cat2-car3,cat2-knife3,dog10-car3,0.0004898298,0.37675905227661133,0.0005955072,0.19476276636123657,0,1,1,0
cat2-car3,cat2-knife3,dog5-car3,0.0004898298,0.37675905227661133,0.0006186157,0.13028138875961304,0,1,1,0
cat2-car3,cat2-knife3,bear4-car3,0.0004898298,0.37675905227661133,0.0006172812,0.2708659768104553,0,1,1,0
cat2-car3,cat2-knife3,boat3-car3,0.0004898298,0.37675905227661133,0.00056587183,0.2081945538520813,0,1,1,0
cat2-car3,cat2-knife3,boat4-car3,0.0004898298,0.37675905227661133,0.0006607589,0.38405364751815796,0,0,1,1
cat2-car3,cat2-knife3,boat5-car3,0.0004898298,0.37675905227661133,0.0005608944,0.15637880563735962,0,1,1,0
cat2-car3,cat2-knife3,oven7-car3,0.0004898298,0.37675905227661133,0.0005459259,0.1727616786956787,0,1,1,0
cat2-car3,cat2-knife3,chair3-car3,0.0004898298,0.37675905227661133,0.00055846514,0.17731952667236328,0,1,1,0
cat2-car3,cat2-knife3,truck10-car3,0.0004898298,0.37675905227661133,0.0005457497,0.16108280420303345,0,1,1,0
cat2-car3,cat2-knife3,truck1-car3,0.0004898298,0.37675905227661133,0.0005298954,0.2118920087814331,0,1,1,0
cat2-car3,cat2-knife3,truck3-car3,0.0004898298,0.37675905227661133,0.0005594982,0.3766447901725769,0,1,1,0
cat2-car3,cat2-knife3,truck2-car3,0.0004898298,0.37675905227661133,0.0005907202,0.26764416694641113,0,1,1,0
cat2-car3,cat2-knife3,bird6-car3,0.0004898298,0.37675905227661133,0.00061107404,0.49739545583724976,0,0,1,1
cat2-car3,cat2-knife3,bird2-car3,0.0004898298,0.37675905227661133,0.00054102484,0.14978772401809692,0,1,1,0
cat2-car3,cat2-knife3,airplane10-car3,0.0004898298,0.37675905227661133,0.0005698552,0.28974854946136475,0,1,1,0
cat2-car3,cat2-knife3,bicycle5-car3,0.0004898298,0.37675905227661133,0.00056981563,0.1542118787765503,0,1,1,0
cat2-car3,cat2-knife3,bottle9-car3,0.0004898298,0.37675905227661133,0.00065402675,0.39516472816467285,0,0,1,1
cat2-car3,cat2-knife3,bottle4-car3,0.0004898298,0.37675905227661133,0.00066174194,0.3727318048477173,0,1,1,0
cat2-car3,cat2-knife3,keyboard1-car3,0.0004898298,0.37675905227661133,0.00062683015,0.38203078508377075,0,0,1,1
cat2-car3,cat2-knife3,keyboard7-car3,0.0004898298,0.37675905227661133,0.0005172965,0.206010103225708,0,1,1,0
cat2-car3,cat2-knife3,knife1-car3,0.0004898298,0.37675905227661133,0.0007145797,0.6493632793426514,0,0,1,1
cat2-car3,cat2-knife3,knife2-car3,0.0004898298,0.37675905227661133,0.0006214273,0.4907006621360779,0,0,1,1
cat2-car3,cat2-knife3,elephant7-car3,0.0004898298,0.37675905227661133,0.00058814517,0.11872422695159912,0,1,1,0
cat2-car3,cat2-knife3,elephant6-car3,0.0004898298,0.37675905227661133,0.0005645631,0.14986979961395264,0,1,1,0
cat2-car3,cat2-knife3,elephant1-car3,0.0004898298,0.37675905227661133,0.0005526312,0.177204430103302,0,1,1,0
cat2-car3,cat2-knife3,elephant4-car3,0.0004898298,0.37675905227661133,0.0005223427,0.12186658382415771,0,1,1,0
cat2-car3,cat2-elephant1,dog10-car3,0.0005163648,0.6930569410324097,0.0005955072,0.19476276636123657,0,1,1,0
cat2-car3,cat2-elephant1,dog5-car3,0.0005163648,0.6930569410324097,0.0006186157,0.13028138875961304,0,1,1,0
cat2-car3,cat2-elephant1,bear4-car3,0.0005163648,0.6930569410324097,0.0006172812,0.2708659768104553,0,1,1,0
cat2-car3,cat2-elephant1,boat3-car3,0.0005163648,0.6930569410324097,0.00056587183,0.2081945538520813,0,1,1,0
cat2-car3,cat2-elephant1,boat4-car3,0.0005163648,0.6930569410324097,0.0006607589,0.38405364751815796,0,1,1,0
cat2-car3,cat2-elephant1,boat5-car3,0.0005163648,0.6930569410324097,0.0005608944,0.15637880563735962,0,1,1,0
cat2-car3,cat2-elephant1,oven7-car3,0.0005163648,0.6930569410324097,0.0005459259,0.1727616786956787,0,1,1,0
cat2-car3,cat2-elephant1,chair3-car3,0.0005163648,0.6930569410324097,0.00055846514,0.17731952667236328,0,1,1,0
cat2-car3,cat2-elephant1,truck10-car3,0.0005163648,0.6930569410324097,0.0005457497,0.16108280420303345,0,1,1,0
cat2-car3,cat2-elephant1,truck1-car3,0.0005163648,0.6930569410324097,0.0005298954,0.2118920087814331,0,1,1,0
cat2-car3,cat2-elephant1,truck3-car3,0.0005163648,0.6930569410324097,0.0005594982,0.3766447901725769,0,1,1,0
cat2-car3,cat2-elephant1,truck2-car3,0.0005163648,0.6930569410324097,0.0005907202,0.26764416694641113,0,1,1,0
cat2-car3,cat2-elephant1,bird6-car3,0.0005163648,0.6930569410324097,0.00061107404,0.49739545583724976,0,1,1,0
cat2-car3,cat2-elephant1,bird2-car3,0.0005163648,0.6930569410324097,0.00054102484,0.14978772401809692,0,1,1,0
cat2-car3,cat2-elephant1,airplane10-car3,0.0005163648,0.6930569410324097,0.0005698552,0.28974854946136475,0,1,1,0
