Anchor,Shape Match,Texture Match,Shape Dot,Shape Cos,Texture Dot,Texture Cos,Shape Dot Closer,Shape Cos Closer,Texture Dot Closer,Texture Cos Closer
cat9-boat2,cat9-truck1,cat2-boat2,0.0005306161,0.21050739288330078,0.000568313,0.171852707862854,0,1,1,0
cat9-boat2,cat9-truck1,bear4-boat2,0.0005306161,0.21050739288330078,0.0006884093,0.06026744842529297,0,1,1,0
cat9-boat2,cat9-truck1,bear9-boat2,0.0005306161,0.21050739288330078,0.0005346595,0.2758694887161255,0,0,1,1
cat9-boat2,cat9-truck1,bear5-boat2,0.0005306161,0.21050739288330078,0.0005584422,0.15911537408828735,0,1,1,0
cat9-boat2,cat9-truck1,bear8-boat2,0.0005306161,0.21050739288330078,0.0005404646,0.16329699754714966,0,1,1,0
cat9-boat2,cat9-truck1,oven10-boat2,0.0005306161,0.21050739288330078,0.00057433126,0.16231846809387207,0,1,1,0
cat9-boat2,cat9-truck1,oven9-boat2,0.0005306161,0.21050739288330078,0.0005404622,0.2724718451499939,0,0,1,1
cat9-boat2,cat9-truck1,chair9-boat2,0.0005306161,0.21050739288330078,0.00059643143,0.28218889236450195,0,0,1,1
cat9-boat2,cat9-truck1,truck6-boat2,0.0005306161,0.21050739288330078,0.0006370864,0.14222562313079834,0,1,1,0
cat9-boat2,cat9-truck1,bird6-boat2,0.0005306161,0.21050739288330078,0.0006286525,0.09261149168014526,0,1,1,0
cat9-boat2,cat9-truck1,airplane7-boat2,0.0005306161,0.21050739288330078,0.0006060238,0.09694153070449829,0,1,1,0
cat9-boat2,cat9-truck1,bicycle6-boat2,0.0005306161,0.21050739288330078,0.000651469,0.14515912532806396,0,1,1,0
cat9-boat2,cat9-truck1,keyboard6-boat2,0.0005306161,0.21050739288330078,0.00071075716,0.1431075930595398,0,1,1,0
cat9-boat2,cat9-truck1,keyboard10-boat2,0.0005306161,0.21050739288330078,0.00060056045,0.12189316749572754,0,1,1,0
cat9-boat2,cat9-truck1,keyboard7-boat2,0.0005306161,0.21050739288330078,0.00053443224,0.17652177810668945,0,1,1,0
cat9-boat2,cat9-truck1,keyboard9-boat2,0.0005306161,0.21050739288330078,0.00053368614,0.2782706618309021,0,0,1,1
cat9-boat2,cat9-truck1,clock10-boat2,0.0005306161,0.21050739288330078,0.0005909151,0.1734490990638733,0,1,1,0
cat9-boat2,cat9-truck1,elephant1-boat2,0.0005306161,0.21050739288330078,0.00058310444,0.1797378659248352,0,1,1,0
cat9-boat2,cat9-truck1,elephant8-boat2,0.0005306161,0.21050739288330078,0.0005739747,0.18365418910980225,0,1,1,0
cat9-boat2,cat9-bottle2,cat2-boat2,0.0006691115,0.6011959612369537,0.000568313,0.171852707862854,1,1,0,0
cat9-boat2,cat9-bottle2,bear4-boat2,0.0006691115,0.6011959612369537,0.0006884093,0.06026744842529297,0,1,1,0
cat9-boat2,cat9-bottle2,bear9-boat2,0.0006691115,0.6011959612369537,0.0005346595,0.2758694887161255,1,1,0,0
cat9-boat2,cat9-bottle2,bear5-boat2,0.0006691115,0.6011959612369537,0.0005584422,0.15911537408828735,1,1,0,0
cat9-boat2,cat9-bottle2,bear8-boat2,0.0006691115,0.6011959612369537,0.0005404646,0.16329699754714966,1,1,0,0
cat9-boat2,cat9-bottle2,oven10-boat2,0.0006691115,0.6011959612369537,0.00057433126,0.16231846809387207,1,1,0,0
cat9-boat2,cat9-bottle2,oven9-boat2,0.0006691115,0.6011959612369537,0.0005404622,0.2724718451499939,1,1,0,0
cat9-boat2,cat9-bottle2,chair9-boat2,0.0006691115,0.6011959612369537,0.00059643143,0.28218889236450195,1,1,0,0
cat9-boat2,cat9-bottle2,truck6-boat2,0.0006691115,0.6011959612369537,0.0006370864,0.14222562313079834,1,1,0,0
cat9-boat2,cat9-bottle2,bird6-boat2,0.0006691115,0.6011959612369537,0.0006286525,0.09261149168014526,1,1,0,0
cat9-boat2,cat9-bottle2,airplane7-boat2,0.0006691115,0.6011959612369537,0.0006060238,0.09694153070449829,1,1,0,0
cat9-boat2,cat9-bottle2,bicycle6-boat2,0.0006691115,0.6011959612369537,0.000651469,0.14515912532806396,1,1,0,0
cat9-boat2,cat9-bottle2,keyboard6-boat2,0.0006691115,0.6011959612369537,0.00071075716,0.1431075930595398,0,1,1,0
cat9-boat2,cat9-bottle2,keyboard10-boat2,0.0006691115,0.6011959612369537,0.00060056045,0.12189316749572754,1,1,0,0
cat9-boat2,cat9-bottle2,keyboard7-boat2,0.0006691115,0.6011959612369537,0.00053443224,0.17652177810668945,1,1,0,0
cat9-boat2,cat9-bottle2,keyboard9-boat2,0.0006691115,0.6011959612369537,0.00053368614,0.2782706618309021,1,1,0,0
cat9-boat2,cat9-bottle2,clock10-boat2,0.0006691115,0.6011959612369537,0.0005909151,0.1734490990638733,1,1,0,0
cat9-boat2,cat9-bottle2,elephant1-boat2,0.0006691115,0.6011959612369537,0.00058310444,0.1797378659248352,1,1,0,0
cat9-boat2,cat9-bottle2,elephant8-boat2,0.0006691115,0.6011959612369537,0.0005739747,0.18365418910980225,1,1,0,0
cat9-boat2,cat9-dog2,cat2-boat2,0.0005172355,0.2619827389717102,0.000568313,0.171852707862854,0,1,1,0
cat9-boat2,cat9-dog2,bear4-boat2,0.0005172355,0.2619827389717102,0.0006884093,0.06026744842529297,0,1,1,0
cat9-boat2,cat9-dog2,bear9-boat2,0.0005172355,0.2619827389717102,0.0005346595,0.2758694887161255,0,0,1,1
cat9-boat2,cat9-dog2,bear5-boat2,0.0005172355,0.2619827389717102,0.0005584422,0.15911537408828735,0,1,1,0
cat9-boat2,cat9-dog2,bear8-boat2,0.0005172355,0.2619827389717102,0.0005404646,0.16329699754714966,0,1,1,0
cat9-boat2,cat9-dog2,oven10-boat2,0.0005172355,0.2619827389717102,0.00057433126,0.16231846809387207,0,1,1,0
cat9-boat2,cat9-dog2,oven9-boat2,0.0005172355,0.2619827389717102,0.0005404622,0.2724718451499939,0,0,1,1
cat9-boat2,cat9-dog2,chair9-boat2,0.0005172355,0.2619827389717102,0.00059643143,0.28218889236450195,0,0,1,1
cat9-boat2,cat9-dog2,truck6-boat2,0.0005172355,0.2619827389717102,0.0006370864,0.14222562313079834,0,1,1,0
cat9-boat2,cat9-dog2,bird6-boat2,0.0005172355,0.2619827389717102,0.0006286525,0.09261149168014526,0,1,1,0
cat9-boat2,cat9-dog2,airplane7-boat2,0.0005172355,0.2619827389717102,0.0006060238,0.09694153070449829,0,1,1,0
cat9-boat2,cat9-dog2,bicycle6-boat2,0.0005172355,0.2619827389717102,0.000651469,0.14515912532806396,0,1,1,0
cat9-boat2,cat9-dog2,keyboard6-boat2,0.0005172355,0.2619827389717102,0.00071075716,0.1431075930595398,0,1,1,0
cat9-boat2,cat9-dog2,keyboard10-boat2,0.0005172355,0.2619827389717102,0.00060056045,0.12189316749572754,0,1,1,0
cat9-boat2,cat9-dog2,keyboard7-boat2,0.0005172355,0.2619827389717102,0.00053443224,0.17652177810668945,0,1,1,0
cat9-boat2,cat9-dog2,keyboard9-boat2,0.0005172355,0.2619827389717102,0.00053368614,0.2782706618309021,0,0,1,1
cat9-boat2,cat9-dog2,clock10-boat2,0.0005172355,0.2619827389717102,0.0005909151,0.1734490990638733,0,1,1,0
cat9-boat2,cat9-dog2,elephant1-boat2,0.0005172355,0.2619827389717102,0.00058310444,0.1797378659248352,0,1,1,0
cat9-boat2,cat9-dog2,elephant8-boat2,0.0005172355,0.2619827389717102,0.0005739747,0.18365418910980225,0,1,1,0
cat9-boat2,cat9-bird3,cat2-boat2,0.0005205269,0.34331661462783813,0.000568313,0.171852707862854,0,1,1,0
cat9-boat2,cat9-bird3,bear4-boat2,0.0005205269,0.34331661462783813,0.0006884093,0.06026744842529297,0,1,1,0
cat9-boat2,cat9-bird3,bear9-boat2,0.0005205269,0.34331661462783813,0.0005346595,0.2758694887161255,0,1,1,0
cat9-boat2,cat9-bird3,bear5-boat2,0.0005205269,0.34331661462783813,0.0005584422,0.15911537408828735,0,1,1,0
cat9-boat2,cat9-bird3,bear8-boat2,0.0005205269,0.34331661462783813,0.0005404646,0.16329699754714966,0,1,1,0
cat9-boat2,cat9-bird3,oven10-boat2,0.0005205269,0.34331661462783813,0.00057433126,0.16231846809387207,0,1,1,0
cat9-boat2,cat9-bird3,oven9-boat2,0.0005205269,0.34331661462783813,0.0005404622,0.2724718451499939,0,1,1,0
cat9-boat2,cat9-bird3,chair9-boat2,0.0005205269,0.34331661462783813,0.00059643143,0.28218889236450195,0,1,1,0
cat9-boat2,cat9-bird3,truck6-boat2,0.0005205269,0.34331661462783813,0.0006370864,0.14222562313079834,0,1,1,0
