Shape,Texture,Decision,Shape Category Value,Texture Category Value,Decision Category Value,Shape Decision,Texture Decision,Neither,Restricted Decision,Restriced Shape Value,Restricted Texture Value,Restricted Shape Decision,Restricted Texture Decision
truck,bear1,bottle,3.9392944e-05,0.00010821634,0.0030030292,0,0,1,bear,,,0,1
truck,bicycle3,bottle,9.345584e-05,0.0002645288,0.0024083026,0,0,1,bicycle,,,0,1
truck,bird1,bottle,8.978752e-05,0.00029089063,0.00228815,0,0,1,bird,,,0,1
truck,car3,bottle,7.2508876e-05,5.2061136e-05,0.0025821317,0,0,1,truck,,,1,0
truck,cat1,bottle,7.344692e-05,0.0011513032,0.0029890854,0,0,1,cat,,,0,1
truck,chair2,bottle,6.7757865e-05,0.00065798545,0.003266227,0,0,1,chair,,,0,1
truck,clock3,bottle,6.0345046e-05,0.00046057298,0.0032190734,0,0,1,clock,,,0,1
truck,dog1,bottle,5.5149416e-05,0.0016059596,0.0026502528,0,0,1,dog,,,0,1
truck,knife1,knife,8.0282e-05,0.0019034202,0.0019034202,0,1,0,knife,,,0,1
truck,airplane1,dog,5.3443015e-05,2.0898722e-05,0.0017011359,0,0,1,truck,,,1,0
truck,bicycle1,knife,9.14683e-05,0.00016481346,0.004392777,0,0,1,bicycle,,,0,1
truck,car3,bottle,7.2508876e-05,5.2061136e-05,0.0025821317,0,0,1,truck,,,1,0
truck,clock1,bottle,0.00015466542,0.00042896825,0.002208209,0,0,1,clock,,,0,1
truck,elephant3,bottle,0.000113820075,0.00032301364,0.0023716658,0,0,1,elephant,,,0,1
truck,truck3,knife,7.81906e-05,7.81906e-05,0.004156732,0,0,1,truck,,,1,1
truck,airplane3,bottle,0.00014335738,7.4356426e-06,0.0027455767,0,0,1,truck,,,1,0
truck,bicycle2,bottle,9.27316e-05,0.00022360058,0.0022280575,0,0,1,bicycle,,,0,1
truck,bird2,knife,6.3620086e-05,0.00029563304,0.003793514,0,0,1,bird,,,0,1
truck,boat3,knife,7.31895e-05,0.0001259908,0.002334127,0,0,1,boat,,,0,1
truck,bottle3,knife,5.878722e-05,0.0031486626,0.004008287,0,0,1,bottle,,,0,1
truck,car3,bottle,7.2508876e-05,5.2061136e-05,0.0025821317,0,0,1,truck,,,1,0
truck,chair1,knife,0.00012941418,0.0006329703,0.0034784419,0,0,1,chair,,,0,1
truck,clock1,bottle,0.00015466542,0.00042896825,0.002208209,0,0,1,clock,,,0,1
truck,elephant1,knife,7.305119e-05,0.000112697475,0.00498247,0,0,1,elephant,,,0,1
truck,keyboard1,knife,5.82456e-05,0.00021217739,0.0028963147,0,0,1,keyboard,,,0,1
truck,oven3,knife,5.6624354e-05,0.00043331864,0.004737296,0,0,1,oven,,,0,1
